| People and Society | Belarus |
| --- | --- |
| Nationality: | noun: Belarusian(s) |
| Nationality: | adjective: Belarusian |
| Ethnic groups: | Belarusian 83.7%, Russian 8.3%, Polish 3.1%, Ukrainian 1.7%, other 3.2% (2009 census) |
| Languages: | Belarusian (official) 23.4%, Russian (official) 70.2%, other 6.4% (includes small Polish- and Ukrainian-speaking minorities) (1999 census) |
| Religions: | Eastern Orthodox 80%, other (including Roman Catholic, Protestant, Jewish, and Muslim) 20% (1997 est.) |
| Population: | 9,625,888 (July 2013 est.) |
| Age structure: | 0-14 years: 15.2% (male 752,536/female 710,384) |
| Age structure: | 15-24 years: 12.3% (male 607,877/female 575,827) |
| Age structure: | 25-54 years: 45.5% (male 2,146,332/female 2,238,033) |
| Age structure: | 55-64 years: 13% (male 548,170/female 699,780) |
| Age structure: | 65 years and over: 14% (male 423,287/female 923,662) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 41.1 % |
| population pyramid: | youth dependency ratio: 21.6 % |
| population pyramid: | elderly dependency ratio: 19.5 % |
| population pyramid: | potential support ratio: 5.1 (2013) |
| Median age: | total: 39.2 years |
| Median age: | male: 36.1 years |
| Median age: | female: 42.2 years (2013 est.) |
| Population growth rate: | -0.18% (2013 est.) |
| Birth rate: | 10.99 births/1,000 population (2013 est.) |
| Death rate: | 13.68 deaths/1,000 population (2013 est.) |
| Net migration rate: | 0.85 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 75% of total population (2011) |
| Urbanization: | rate of urbanization: 0.21% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MINSK (capital) 1.861 million (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.78 male(s)/female |
| Sex ratio: | 65 years and over: 0.46 male(s)/female |
| Sex ratio: | total population: 0.87 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 24.9 (2010 est.) |
| Maternal mortality rate: | 190 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 3.67 deaths/1,000 live births |
| Infant mortality rate: | male: 4.1 deaths/1,000 live births |
| Infant mortality rate: | female: 3.22 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 71.81 years |
| Life expectancy at birth: | male: 66.14 years |
| Life expectancy at birth: | female: 77.82 years (2013 est.) |
| Total fertility rate: | 1.46 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 72.6% (2005) |
| Health expenditures: | 5.3% of GDP (2011) |
| Physicians density: | 3.76 physicians/1,000 population (2011) |
| Hospital bed density: | 11.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 0% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 91% of population |
| Sanitation facility access: | rural: 97% of population |
| Sanitation facility access: | total: 93% of population |
| unimproved: | urban: 9% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 7% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 17,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 1,000 (2009 est.) |
| Obesity - adult prevalence rate: | 24.3% (2008) |
| Children under the age of 5 years underweight: | 1.3% (2005) |
| Education expenditures: | 5.3% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.6% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.5% (2009 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2011) |
| Child labor - children ages 5-14: | total number: 54,218 |
| Child labor - children ages 5-14: | percentage: 5 % (2005 est.) |
