| People and Society | Burma |
| --- | --- |
| Nationality: | noun: Burmese (singular and plural) |
| Nationality: | adjective: Burmese |
| Ethnic groups: | Burman 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Indian 2%, Mon 2%, other 5% |
| Languages: | Burmese (official) |
| Languages: | note: minority ethnic groups have their own languages |
| Religions: | Buddhist 89%, Christian 4% (Baptist 3%, Roman Catholic 1%), Muslim 4%, Animist 1%, other 2% |
| Population: | 55,746,253 |
| Population: | note: estimates for this country take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 26.4% (male 7,498,179/female 7,209,588) |
| Age structure: | 15-24 years: 18.3% (male 5,163,399/female 5,037,117) |
| Age structure: | 25-54 years: 43.1% (male 11,930,777/female 12,073,741) |
| Age structure: | 55-64 years: 7% (male 1,836,463/female 2,059,482) |
| Age structure: | 65 years and over: 5.3% (male 1,277,919/female 1,659,588) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 42.5 % |
| population pyramid: | youth dependency ratio: 35 % |
| population pyramid: | elderly dependency ratio: 7.6 % |
| population pyramid: | potential support ratio: 13.2 (2014 est.) |
| Median age: | total: 27.9 years |
| Median age: | male: 27.3 years |
| Median age: | female: 28.5 years (2014 est.) |
| Population growth rate: | 1.03% (2014 est.) |
| Birth rate: | 18.65 births/1,000 population (2014 est.) |
| Death rate: | 8.01 deaths/1,000 population (2014 est.) |
| Net migration rate: | -0.3 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 32.6% of total population (2011) |
| Urbanization: | rate of urbanization: 2.49% annual rate of change (2010-15 est.) |
| Major urban areas - population: | RANGOON (capital) 4.457 million; Mandalay 1.063 million; Nay Pyi Taw 1.06 million (2011) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.03 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 22.8 (2007 est.) |
| Maternal mortality rate: | 200 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 44.91 deaths/1,000 live births |
| Infant mortality rate: | male: 51.35 deaths/1,000 live births |
| Infant mortality rate: | female: 38.07 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 65.94 years |
| Life expectancy at birth: | male: 63.57 years |
| Life expectancy at birth: | female: 68.46 years (2014 est.) |
| Total fertility rate: | 2.18 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 46% (2009/10) |
| Health expenditures: | 2% of GDP (2011) |
| Physicians density: | 0.5 physicians/1,000 population (2010) |
| Hospital bed density: | 0.6 beds/1,000 population (2006) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.8% of population |
| Drinking water source: | rural: 81.1% of population |
| Drinking water source: | total: 85.7% of population |
| unimproved: | urban: 5.2% of population |
| unimproved: | rural: 18.9% of population |
| unimproved: | total: 14.3% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 84.3% of population |
| Sanitation facility access: | rural: 73.9% of population |
| Sanitation facility access: | total: 77.4% of population |
| unimproved: | urban: 15.7% of population |
| unimproved: | rural: 26.1% of population |
| unimproved: | total: 22.6% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 0.6% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 195,700 (2012 est.) |
| HIV/AIDS - deaths: | 11,600 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, and Japanese encephalitis |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 4% (2008) |
| Children under the age of 5 years underweight: | 22.6% (2010) |
| Education expenditures: | 0.8% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.7% |
| Literacy: | male: 95.1% |
| Literacy: | female: 90.4% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years (2007) |
