| People and Society | EUROPEAN UNION |
| --- | --- |
| Population: | total: 516,195,432 |
| rank by population: | 1. Germany 80,594,017 |
| rank by population: | 2. France 67,106,161 |
| rank by population: | 3. United Kingdom 64,769,452 |
| rank by population: | 4. Italy 62,137,802 |
| rank by population: | 5. Spain 48,958,159 |
| rank by population: | 6. Poland 38,476,269 |
| rank by population: | 7. Romania 21,529,967 |
| rank by population: | 8. Netherlands 17,084,719 |
| rank by population: | 9. Belgium 11,491,346 |
| rank by population: | 10. Portugal 10,839,514 |
| rank by population: | 11. Greece 10,768,477 |
| rank by population: | 12. Czechia 10,674,723 |
| rank by population: | 13. Sweden 9,960,487 |
| rank by population: | 14. Hungary 9,850,845 |
| rank by population: | 15. Austria 8,754,413 |
| rank by population: | 16. Bulgaria 7,101,510 |
| rank by population: | 17. Denmark 5,605,948 |
| rank by population: | 18. Finland 5,518,371 |
| rank by population: | 19. Slovakia 5,445,829 |
| rank by population: | 20. Ireland 5,011,102 |
| rank by population: | 21. Croatia 4,292,095 |
| rank by population: | 22. Lithuania 2,823,859 |
| rank by population: | 23. Slovenia 1,972,126 |
| rank by population: | 24. Latvia 1,944,643 |
| rank by population: | 25. Estonia 1,251,581 |
| rank by population: | 26. Cyprus 1,221,549 |
| rank by population: | 27. Luxembourg 594,130 |
| rank by population: | 28. Malta 416,338 (July 2017 est.) |
| Languages: | Bulgarian, Croatian, Czech, Danish, Dutch, English, Estonian, Finnish, French, German, Greek, Hungarian, Irish, Italian, Latvian, Lithuanian, Maltese, Polish, Portuguese, Romanian, Slovak, Slovene, Spanish, Swedish |
| Languages: | note: only the 24 official languages are listed; German, the major language of Germany, Austria, and Switzerland, is the most widely spoken mother tongue - about 16% of the EU population; English is the most widely spoken foreign language - about 38% of the EU population is conversant with it (2012) |
| Religions: | Roman Catholic 48%, Protestant 12%, Orthodox 8%, other Christian 4%, Muslim 2%, other 1% (includes Jewish, Sikh, Buddhist, Hindu), atheist 7%, non-believer/agnostic 16%, unspecified 2% (2012 est.) |
| Age structure: | 0-14 years: 15.5% (male 40,853,366/female 38,783,889) |
| Age structure: | 15-24 years: 10.9% (male 28,680,885/female 27,396,922) |
| Age structure: | 25-54 years: 41.8% (male 108,312,731/female 106,407,509) |
| Age structure: | 55-64 years: 12.9% (male 32,287,068/female 34,128,099) |
| Age structure: | 65 years and over: 19.1% (male 42,074,448/female 56,127,861) (2017 est.) |
| Median age: | total: 42.9 years |
| Median age: | male: 41.5 years |
| Median age: | female: 44.4 years (2017 est.) |
| Population growth rate: | 0.23% (2016 est.) |
| Birth rate: | 10.1 births/1,000 population (2016 est.) |
| Death rate: | 10.2 deaths/1,000 population (2016 est.) |
| Net migration rate: | 2.5 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | population distribution varies considerably from country to country, but tends to follow a pattern of coastal and river settlement, with urban agglomerations forming large hubs facilitating large scale housing, industry, and commerce; the area in and around the Netherlands, Belgium, and Luxembourg (known collectively as Benelux), is the most densely populated area in the EU |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 4 deaths/1,000 live births |
| Infant mortality rate: | male: 4.4 deaths/1,000 live births |
| Infant mortality rate: | female: 3.6 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 80.2 years |
| Life expectancy at birth: | male: 77.4 years |
| Life expectancy at birth: | female: 83.2 years (2017 est.) |
| Total fertility rate: | 1.61 children born/woman (2016 est.) |
| Hospital bed density: | 5.4 beds/1,000 population (2011) |
| HIV/AIDS - adult prevalence rate: | note - see individual entries of member states |
| HIV/AIDS - people living with HIV/AIDS: | note - see individual entries of member states |
| HIV/AIDS - deaths: | note - see individual entries of member states |
| Unemployment, youth ages 15-24: | total: 22.7% |
| Unemployment, youth ages 15-24: | male: 22.9% |
| Unemployment, youth ages 15-24: | female: 22.5% (2015 est.) |
