| People and Society | Gambia, The |
| --- | --- |
| Nationality: | noun: Gambian(s) |
| Nationality: | adjective: Gambian |
| Ethnic groups: | African 99% (Mandinka 42%, Fula 18%, Wolof 16%, Jola 10%, Serahuli 9%, other 4%), non-African 1% (2003 census) |
| Languages: | English (official), Mandinka, Wolof, Fula, other indigenous vernaculars |
| Religions: | Muslim 90%, Christian 8%, indigenous beliefs 2% |
| Population: | 1,925,527 (July 2014 est.) |
| Age structure: | 0-14 years: 38.7% (male 374,353/female 371,488) |
| Age structure: | 15-24 years: 21% (male 199,306/female 204,324) |
| Age structure: | 25-54 years: 33% (male 310,901/female 324,227) |
| Age structure: | 55-64 years: 4% (male 37,506/female 39,958) |
| Age structure: | 65 years and over: 3.2% (male 29,793/female 33,671) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 93 % |
| population pyramid: | youth dependency ratio: 88.4 % |
| population pyramid: | elderly dependency ratio: 4.5 % |
| population pyramid: | potential support ratio: 22 (2014 est.) |
| Median age: | total: 20.2 years |
| Median age: | male: 19.9 years |
| Median age: | female: 20.5 years (2014 est.) |
| Population growth rate: | 2.23% (2014 est.) |
| Birth rate: | 31.75 births/1,000 population (2014 est.) |
| Death rate: | 7.26 deaths/1,000 population (2014 est.) |
| Net migration rate: | -2.23 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 57.3% of total population (2011) |
| Urbanization: | rate of urbanization: 3.63% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BANJUL (capital) 506,000 (2011) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.98 male(s)/female |
| Sex ratio: | 25-54 years: 0.96 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.9 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2014 est.) |
| Maternal mortality rate: | 360 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 65.74 deaths/1,000 live births |
| Infant mortality rate: | male: 71.21 deaths/1,000 live births |
| Infant mortality rate: | female: 60.11 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 64.36 years |
| Life expectancy at birth: | male: 62.04 years |
| Life expectancy at birth: | female: 66.74 years (2014 est.) |
| Total fertility rate: | 3.85 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 13.3% (2010) |
| Health expenditures: | 4.4% of GDP (2011) |
| Physicians density: | 0.11 physicians/1,000 population (2008) |
| Hospital bed density: | 1.1 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 94.2% of population |
| Drinking water source: | rural: 84.4% of population |
| Drinking water source: | total: 90.1% of population |
| unimproved: | urban: 5.8% of population |
| unimproved: | rural: 15.6% of population |
| unimproved: | total: 9.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 64% of population |
| Sanitation facility access: | rural: 55% of population |
| Sanitation facility access: | total: 60.2% of population |
| unimproved: | urban: 36% of population |
| unimproved: | rural: 45% of population |
| unimproved: | total: 39.8% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1.3% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 14,300 (2012 est.) |
| HIV/AIDS - deaths: | 500 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 7.9% (2008) |
| Children under the age of 5 years underweight: | 15.8% (2006) |
| Education expenditures: | 4.1% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 51.1% |
| Literacy: | male: 60.9% |
| Literacy: | female: 41.9% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years (2008) |
| Child labor - children ages 5-14: | total number: 103,389 |
| Child labor - children ages 5-14: | percentage: 25 % (2006 est.) |
