| People and Society | Greece |
| --- | --- |
| Nationality: | noun: Greek(s) |
| Nationality: | adjective: Greek |
| Ethnic groups: | population: Greek 93%, other (foreign citizens) 7% (2001 census) |
| Ethnic groups: | note: percents represent citizenship, since Greece does not collect data on ethnicity |
| Languages: | Greek (official) 99%, other (includes English and French) 1% |
| Religions: | Greek Orthodox (official) 98%, Muslim 1.3%, other 0.7% |
| Population: | 10,772,967 (July 2013 est.) |
| Age structure: | 0-14 years: 14.1% (male 783,710/female 737,850) |
| Age structure: | 15-24 years: 9.8% (male 541,603/female 519,170) |
| Age structure: | 25-54 years: 43.5% (male 2,334,949/female 2,349,421) |
| Age structure: | 55-64 years: 12.5% (male 661,324/female 684,639) |
| Age structure: | 65 years and over: 20.1% (male 945,277/female 1,215,024) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.3 % |
| population pyramid: | youth dependency ratio: 22.3 % |
| population pyramid: | elderly dependency ratio: 29.9 % |
| population pyramid: | potential support ratio: 3.3 (2013) |
| Median age: | total: 43.2 years |
| Median age: | male: 42.1 years |
| Median age: | female: 44.3 years (2013 est.) |
| Population growth rate: | 0.04% (2013 est.) |
| Birth rate: | 8.94 births/1,000 population (2013 est.) |
| Death rate: | 10.9 deaths/1,000 population (2013 est.) |
| Net migration rate: | 2.32 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 61% of total population (2010) |
| Urbanization: | rate of urbanization: 0.6% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ATHENS (capital) 3.252 million; Thessaloniki 834,000 (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.78 male(s)/female |
| Sex ratio: | total population: 0.96 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 29.2 (2007 est.) |
| Maternal mortality rate: | 3 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 4.85 deaths/1,000 live births |
| Infant mortality rate: | male: 5.33 deaths/1,000 live births |
| Infant mortality rate: | female: 4.34 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 80.18 years |
| Life expectancy at birth: | male: 77.59 years |
| Life expectancy at birth: | female: 82.93 years (2013 est.) |
| Total fertility rate: | 1.4 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 76.2% |
| Contraceptive prevalence rate: | note: percent of women aged 16-45 (2001) |
| Health expenditures: | 9% of GDP (2011) |
| Physicians density: | 6.04 physicians/1,000 population (2008) |
| Hospital bed density: | 4.9 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 99% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1% of population |
| unimproved: | total: 0% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99% of population |
| Sanitation facility access: | rural: 97% of population |
| Sanitation facility access: | total: 98% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 3% of population |
| unimproved: | total: 2% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 8,800 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Obesity - adult prevalence rate: | 20.1% (2008) |
| Education expenditures: | 4.1% of GDP (2005) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 97.3% |
| Literacy: | male: 98.4% |
| Literacy: | female: 96.3% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 16 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2007) |
| Unemployment, youth ages 15-24: | total: 44.4% |
| Unemployment, youth ages 15-24: | male: 38.5% |
| Unemployment, youth ages 15-24: | female: 51.5% (2011) |
