| People and Society | Guam |
| --- | --- |
| Nationality: | noun: Guamanian(s) (US citizens) |
| Nationality: | adjective: Guamanian |
| Ethnic groups: | Chamorro 37.1%, Filipino 26.3%, other Pacific islander 11.3%, white 6.9%, other Asian 6.3%, other ethnic origin or race 2.3%, mixed 9.8% (2000 census) |
| Languages: | English 38.3%, Chamorro 22.2%, Philippine languages 22.2%, other Pacific island languages 6.8%, Asian languages 7%, other languages 3.5% (2000 census) |
| Religions: | Roman Catholic 85%, other 15% (1999 est.) |
| Population: | 160,378 (July 2013 est.) |
| Age structure: | 0-14 years: 26.4% (male 21,806/female 20,480) |
| Age structure: | 15-24 years: 16.9% (male 13,961/female 13,156) |
| Age structure: | 25-54 years: 39.5% (male 32,312/female 30,962) |
| Age structure: | 55-64 years: 9.1% (male 7,325/female 7,273) |
| Age structure: | 65 years and over: 8.2% (male 5,950/female 7,153) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 52.3 % |
| population pyramid: | youth dependency ratio: 39.9 % |
| population pyramid: | elderly dependency ratio: 12.3 % |
| population pyramid: | potential support ratio: 8.1 (2013) |
| Median age: | total: 29.7 years |
| Median age: | male: 29.2 years |
| Median age: | female: 30.2 years (2013 est.) |
| Population growth rate: | 0.34% (2013 est.) |
| Birth rate: | 17.23 births/1,000 population (2013 est.) |
| Death rate: | 4.95 deaths/1,000 population (2013 est.) |
| Net migration rate: | -8.89 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 93% of total population (2010) |
| Urbanization: | rate of urbanization: 1.2% annual rate of change (2010-15 est.) |
| Major urban areas - population: | HAGATNA (capital) 153,000 (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.07 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.01 male(s)/female |
| Sex ratio: | 65 years and over: 0.84 male(s)/female |
| Sex ratio: | total population: 1.03 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 5.61 deaths/1,000 live births |
| Infant mortality rate: | male: 6.02 deaths/1,000 live births |
| Infant mortality rate: | female: 5.18 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 78.66 years |
| Life expectancy at birth: | male: 75.62 years |
| Life expectancy at birth: | female: 81.89 years (2013 est.) |
| Total fertility rate: | 2.41 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 66.6% |
| Contraceptive prevalence rate: | note: percent of women aged 18-44 (2002) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99% of population |
| Sanitation facility access: | rural: 98% of population |
| Sanitation facility access: | total: 99% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 2% of population |
| unimproved: | total: 1% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99% |
| Literacy: | male: 99% |
| Literacy: | female: 99% (1990 est.) |
