| People and Society | Libya |
| --- | --- |
| Nationality: | noun: Libyan(s) |
| Nationality: | adjective: Libyan |
| Ethnic groups: | Berber and Arab 97%, other 3% (includes Greeks, Maltese, Italians, Egyptians, Pakistanis, Turks, Indians, and Tunisians) |
| Languages: | Arabic (official), Italian, English |
| Languages: | note: all are widely understood in the major cities |
| Religions: | Sunni Muslim (official) 97%, other 3% |
| Population: | 6,597,960 (July 2011 est.) |
| Population: | note: includes 166,510 non-nationals |
| Age structure: | 0-14 years: 32.8% (male 1,104,590/female 1,057,359) |
| Age structure: | 15-64 years: 62.7% (male 2,124,053/female 2,011,226) |
| Age structure: | 65 years and over: 4.6% (male 146,956/female 153,776) (2011 est.) |
| Median age: | total: 24.5 years |
| Median age: | male: 24.5 years |
| Median age: | female: 24.4 years (2011 est.) |
| Population growth rate: | 2.064% (2011 est.) |
| Birth rate: | 24.04 births/1,000 population (2011 est.) |
| Death rate: | 3.4 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 78% of total population (2010) |
| Urbanization: | rate of urbanization: 2.1% annual rate of change (2010-15 est.) |
| Major cities - population: | TRIPOLI (capital) 1.095 million (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | under 15 years: 1.04 male(s)/female |
| Sex ratio: | 15-64 years: 1.06 male(s)/female |
| Sex ratio: | 65 years and over: 0.96 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2011 est.) |
| Maternal mortality rate: | 64 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 20.09 deaths/1,000 live births |
| Infant mortality rate: | male: 22.06 deaths/1,000 live births |
| Infant mortality rate: | female: 18.02 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 77.65 years |
| Life expectancy at birth: | male: 75.34 years |
| Life expectancy at birth: | female: 80.08 years (2011 est.) |
| Total fertility rate: | 2.96 children born/woman (2011 est.) |
| Health expenditures: | 6.6% of GDP (2009) |
| Physicians density: | 1.9 physicians/1,000 population (2009) |
| Hospital bed density: | 3.7 beds/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 54% of population |
| Drinking water source: | rural: 55% of population |
| Drinking water source: | total: 54% of population |
| unimproved: | urban: 46% of population |
| unimproved: | rural: 45% of population |
| unimproved: | total: 46% of population (2000) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 97% of population |
| Sanitation facility access: | rural: 96% of population |
| Sanitation facility access: | total: 97% of population |
| unimproved: | urban: 3% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 3% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.3% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 10,000 (2001 est.) |
| HIV/AIDS - deaths: | NA |
| Children under the age of 5 years underweight: | 5.6% (2007) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 82.6% |
| Literacy: | male: 92.4% |
| Literacy: | female: 72% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 16 years |
| School life expectancy (primary to tertiary education): | female: 17 years (2003) |
