| People and Society | MAURITIUS |
| --- | --- |
| Population: | 1,356,388 (July 2017 est.) |
| Nationality: | noun: Mauritian(s) |
| Nationality: | adjective: Mauritian |
| Ethnic groups: | Indo-Mauritian (compose approximately two thirds of the total population), Creole, Sino-Mauritian, Franco-Mauritian |
| Ethnic groups: | note: Mauritius has not had a question on ethnicity on its national census since 1972 |
| Languages: | Creole 86.5%, Bhojpuri 5.3%, French 4.1%, two languages 1.4%, other 2.6% (includes English, the official language of the National Assembly, which is spoken by less than 1% of the population), unspecified 0.1% (2011 est.) |
| Religions: | Hindu 48.5%, Roman Catholic 26.3%, Muslim 17.3%, other Christian 6.4%, other 0.6%, none 0.7%, unspecified 0.1% (2011 est.) |
| Demographic profile: | Mauritius has transitioned from a country of high fertility and high mortality rates in the 1950s and mid-1960s to one with among the lowest population growth rates in the developing world today. After World War II, Mauritius’ population began to expand quickly due to increased fertility and a dramatic drop in mortality rates as a result of improved health care and the eradication of malaria. This period of heightened population growth – reaching about 3% a year – was followed by one of the world’s most rapid birth rate declines. |
| Demographic profile: | The total fertility rate fell from 6.2 children per women in 1963 to 3.2 in 1972 – largely the result of improved educational attainment, especially among young women, accompanied by later marriage and the adoption of family planning methods. The family planning programs’ success was due to support from the government and eventually the traditionally pronatalist religious communities, which both recognized that controlling population growth was necessary because of Mauritius’ small size and limited resources. Mauritius’ fertility rate has consistently been below replacement level since the late 1990s, a rate that is substantially lower than nearby countries in southern Africa. |
| Demographic profile: | With no indigenous population, Mauritius’ ethnic mix is a product of more than two centuries of European colonialism and continued international labor migration. Sugar production relied on slave labor mainly from Madagascar, Mozambique, and East Africa from the early 18th century until its abolition in 1835, when slaves were replaced with indentured Indians. Most of the influx of indentured labor – peaking between the late 1830s and early 1860 – settled permanently creating massive population growth of more than 7% a year and reshaping the island’s social and cultural composition. While Indians represented about 12% of Mauritius’ population in 1837, they and their descendants accounted for roughly two-thirds by the end of the 19th century. Most were Hindus, but the majority of the free Indian traders were Muslims. |
| Demographic profile: | Mauritius again turned to overseas labor when its success in clothing and textile exports led to a labor shortage in the mid-1980s. Clothing manufacturers brought in contract workers (increasingly women) from China, India, and, to a lesser extent Bangladesh and Madagascar, who worked longer hours for lower wages under poor conditions and were viewed as more productive than locals. Downturns in the sugar and textile industries in the mid-2000s and a lack of highly qualified domestic workers for Mauritius’ growing services sector led to the emigration of low-skilled workers and a reliance on skilled foreign labor. Since 2007, Mauritius has pursued a circular migration program to enable citizens to acquire new skills and savings abroad and then return home to start businesses and to invest in the country’s development. |
| Age structure: | 0-14 years: 20.16% (male 139,721/female 133,765) |
| Age structure: | 15-24 years: 14.8% (male 101,453/female 99,288) |
| Age structure: | 25-54 years: 43.74% (male 296,795/female 296,485) |
| Age structure: | 55-64 years: 11.59% (male 74,650/female 82,585) |
| Age structure: | 65 years and over: 9.71% (male 53,985/female 77,661) (2017 est.) |
| Dependency ratios: | total dependency ratio: 41.6 |
| Dependency ratios: | youth dependency ratio: 27.5 |
| Dependency ratios: | elderly dependency ratio: 14.1 |
| Dependency ratios: | potential support ratio: 7.1 (2015 est.) |
| Median age: | total: 35.3 years |
| Median age: | male: 34.2 years |
| Median age: | female: 36.3 years (2017 est.) |
| Population growth rate: | 0.59% (2017 est.) |
| Birth rate: | 13 births/1,000 population (2017 est.) |
| Death rate: | 7.1 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population density is one of the highest in the world; urban cluster are found throught the main island, with a greater density in and around Port Luis; population on Rodrigues Island is spread across the island with a slightly denser cluster on the north coast |
| Urbanization: | urban population: 39.4% of total population (2017) |
| Urbanization: | rate of urbanization: 0.07% annual rate of change (2015-20 est.) |
| Major urban areas - population: | PORT LOUIS (capital) 135,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2016 est.) |
| Maternal mortality rate: | 53 deaths/100,000 live births (2015 est.) |
