| People and Society | Monaco |
| --- | --- |
| Population: | 30,727 (July 2017 est.) (July 2018 est.) |
| Population: | note: immigrants make up almost 55% of the total population, according to UN data (2017) |
| Nationality: | noun: Monegasque(s) or Monacan(s) |
| Nationality: | adjective: Monegasque or Monacan |
| Ethnic groups: | Monegasque 32.1%, French 19.9%, Italian 15.3%, British 5%, Belgian 2.3%, Swiss 2%, German 1.9%, Russian 1.8%, American 1.1%, Dutch 1.1%, Moroccan 1%, other 16.6% (2016 est.) |
| Ethnic groups: | note: data represent population by country of birth |
| Languages: | French (official), English, Italian, Monegasque |
| Religions: | Roman Catholic 90% (official), other 10% |
| Age structure: | 0-14 years: 10.27% (male 1,622 /female 1,533) |
| Age structure: | 15-24 years: 9.39% (male 1,498 /female 1,387) |
| Age structure: | 25-54 years: 32.15% (male 4,964 /female 4,916) |
| Age structure: | 55-64 years: 15.04% (male 2,305 /female 2,315) |
| Age structure: | 65 years and over: 33.15% (male 4,530 /female 5,657) (2018 est.) |
| Median age: | total: 53.8 years |
| Median age: | male: 52.4 years |
| Median age: | female: 55.3 years (2018 est.) |
| Population growth rate: | 0.3% (2018 est.) |
| Birth rate: | 6.5 births/1,000 population (2018 est.) |
| Death rate: | 10.1 deaths/1,000 population (2018 est.) |
| Net migration rate: | 5.7 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the most densely populated country in the world; its entire population living on 2 square km |
| Urbanization: | urban population: 100% of total population (2018) |
| Urbanization: | rate of urbanization: 0.51% annual rate of change (2015-20 est.) |
| Major urban areas - population: | 39,000 MONACO (capital) (2018) |
| Sex ratio: | at birth: 1.05 male(s)/female (2017 est.) |
| Sex ratio: | 0-14 years: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 15-24 years: 1.06 male(s)/female (2017 est.) |
| Sex ratio: | 25-54 years: 1 male(s)/female (2017 est.) |
| Sex ratio: | 55-64 years: 0.99 male(s)/female (2017 est.) |
| Sex ratio: | 65 years and over: 0.81 male(s)/female (2017 est.) |
| Sex ratio: | total population: 0.95 male(s)/female (2017 est.) |
| Infant mortality rate: | total: 1.8 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | male: 2.1 deaths/1,000 live births (2018 est.) |
| Infant mortality rate: | female: 1.6 deaths/1,000 live births (2018 est.) |
| Life expectancy at birth: | total population: 89.4 years (2018 est.) |
| Life expectancy at birth: | male: 85.5 years (2018 est.) |
| Life expectancy at birth: | female: 93.4 years (2018 est.) |
| Total fertility rate: | 1.54 children born/woman (2018 est.) |
| Health expenditures: | 4.3% of GDP (2014) |
| Physicians density: | 6.65 physicians/1,000 population (2014) |
| Hospital bed density: | 13.8 beds/1,000 population (2012) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: urban: 100% of population (2015 est.) |
| Sanitation facility access: | total: 100% of population (2015 est.) |
| Sanitation facility access: | unimproved: urban: 0% of population (2015 est.) |
| Sanitation facility access: | total: 0% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | 1.4% of GDP (2016) |
| Unemployment, youth ages 15-24: | total: 26.6% (2016 est.) |
| Unemployment, youth ages 15-24: | male: 25.7% (2016 est.) |
| Unemployment, youth ages 15-24: | female: 27.9% (2016 est.) |
