| People and Society | Montenegro |
| --- | --- |
| Nationality: | noun: Montenegrin(s) |
| Nationality: | adjective: Montenegrin |
| Ethnic groups: | Montenegrin 43%, Serbian 32%, Bosniak 8%, Albanian 5%, other (Muslims, Croats, Roma (Gypsy)) 12% (2003 census) |
| Languages: | Serbian 63.6%, Montenegrin (official) 22%, Bosnian 5.5%, Albanian 5.3%, unspecified (includes Croatian) 3.7% (2003 census) |
| Religions: | Orthodox 74.2%, Muslim 17.7%, Catholic 3.5%, other 0.6%, unspecified 3%, atheist 1% (2003 census) |
| Population: | 657,394 (July 2012 est.) |
| Age structure: | 0-14 years: 15.4% (male 49,282/ female 52,098) |
| Age structure: | 15-64 years: 71% (male 242,716/ female 223,908) |
| Age structure: | 65 years and over: 13.6% (male 35,478/ female 53,912) (2012 est.) |
| Age structure: | population pyramid: [] |
| Median age: | total: 38.3 years |
| Median age: | male: 37.1 years |
| Median age: | female: 39.6 years (2012 est.) |
| Population growth rate: | -0.633% (2012 est.) |
| Birth rate: | 10.89 births/1,000 population (2012 est.) |
| Death rate: | 9.03 deaths/1,000 population (July 2012 est.) |
| Urbanization: | urban population: 61% of total population (2010) |
| Urbanization: | rate of urbanization: 0.1% annual rate of change (2010-15 est.) |
| Major cities - population: | PODGORICA (capital) 144,000 (2009) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | under 15 years: 0.95 male(s)/female |
| Sex ratio: | 15-64 years: 1.08 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2011 est.) |
| Maternal mortality rate: | 8 deaths/100,000 live births (2010) |
| Hospital bed density: | 3.98 beds/1,000 population (2007) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 86% of population |
| Sanitation facility access: | total: 92% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 14% of population |
| unimproved: | total: 8% of population |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne disease: Crimean Congo hemorrhagic fever (2009) |
| Children under the age of 5 years underweight: | 2.2% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 98.4% |
| Literacy: | male: 99.4% |
| Literacy: | female: 97.4% (2010 est.) |
