| People and Society | Mozambique |
| --- | --- |
| Nationality: | noun: Mozambican(s) |
| Nationality: | adjective: Mozambican |
| Ethnic groups: | African 99.66% (Makhuwa, Tsonga, Lomwe, Sena, and others), Europeans 0.06%, Euro-Africans 0.2%, Indians 0.08% |
| Languages: | Emakhuwa 25.3%, Portuguese (official) 10.7%, Xichangana 10.3%, Cisena 7.5%, Elomwe 7%, Echuwabo 5.1%, other Mozambican languages 30.1%, other 4% (1997 census) |
| Religions: | Catholic 28.4%, Protestant 27.7% (Zionist Christian 15.5%, Evangelical Pentecostal 10.9%, Anglican 1.3%), Muslim 17.9%, other 7.2%, none 18.7% (1997 census) |
| Population: | 24,096,669 (July 2013 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 45.5% (male 5,515,341/female 5,457,336) |
| Age structure: | 15-24 years: 21.1% (male 2,469,221/female 2,610,720) |
| Age structure: | 25-54 years: 27% (male 3,035,069/female 3,461,519) |
| Age structure: | 55-64 years: 3.5% (male 396,186/female 442,237) |
| Age structure: | 65 years and over: 2.9% (male 325,955/female 383,085) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 94.8 % |
| population pyramid: | youth dependency ratio: 88.4 % |
| population pyramid: | elderly dependency ratio: 6.4 % |
| population pyramid: | potential support ratio: 15.6 (2013) |
| Median age: | total: 16.8 years |
| Median age: | male: 16.2 years |
| Median age: | female: 17.5 years (2013 est.) |
| Population growth rate: | 2.44% (2013 est.) |
| Birth rate: | 39.08 births/1,000 population (2013 est.) |
| Death rate: | 12.57 deaths/1,000 population (2013 est.) |
| Net migration rate: | -2.07 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 31.2% of total population (2011) |
| Urbanization: | rate of urbanization: 3.05% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MAPUTO (capital) 1.589 million; Matola 761,000 (2009) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.93 male(s)/female |
| Sex ratio: | 25-54 years: 0.88 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 18.8 (2003 est.) |
| Maternal mortality rate: | 490 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 74.63 deaths/1,000 live births |
| Infant mortality rate: | male: 76.78 deaths/1,000 live births |
| Infant mortality rate: | female: 72.43 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 52.29 years |
| Life expectancy at birth: | male: 51.54 years |
| Life expectancy at birth: | female: 53.06 years (2013 est.) |
| Total fertility rate: | 5.34 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 11.6% (2011) |
| Health expenditures: | 6.6% of GDP (2011) |
| Physicians density: | 0.03 physicians/1,000 population (2008) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 77% of population |
| Drinking water source: | rural: 29% of population |
| Drinking water source: | total: 47% of population |
| unimproved: | urban: 23% of population |
| unimproved: | rural: 71% of population |
| unimproved: | total: 53% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 38% of population |
| Sanitation facility access: | rural: 5% of population |
| Sanitation facility access: | total: 18% of population |
| unimproved: | urban: 62% of population |
| unimproved: | rural: 95% of population |
| unimproved: | total: 82% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 11.5% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.4 million (2009 est.) |
| HIV/AIDS - deaths: | 74,000 (2009 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.9% (2008) |
| Children under the age of 5 years underweight: | 18.3% (2008) |
| Education expenditures: | 5% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 56.1% |
| Literacy: | male: 70.8% |
| Literacy: | female: 42.8% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2011) |
| Child labor - children ages 5-14: | total number: 1,369,080 |
| Child labor - children ages 5-14: | percentage: 22 % (2008 est.) |
