| People and Society | NAURU |
| --- | --- |
| Nationality: | noun: Nauruan(s) |
| Nationality: | adjective: Nauruan |
| Ethnic groups: | Nauruan 58%, other Pacific Islander 26%, Chinese 8%, European 8% |
| Languages: | Nauruan 93% (official, a distinct Pacific Island language), English 2% (widely understood, spoken, and used for most government and commercial purposes), other 5% (includes I-Kiribati 2% and Chinese 2%) |
| Languages: | note: percentages represent main language spoken at home; Nauruan is spoken by 95% of the population, English by 66%, and other languages by 12% (2011 est.) |
| Religions: | Protestant 60.4% (includes Nauru Congregational 35.7%, Assembly of God 13%, Nauru Independent Church 9.5%, Baptist 1.5%, and Seventh Day Adventist .7%), Roman Catholic 33%, other 3.7%, none 1.8%, unspecified 1.1% (2011 est.) |
| Population: | 9,540 (July 2015 est.) |
| Age structure: | 0-14 years: 32.45% (male 1,360/female 1,736) |
| Age structure: | 15-24 years: 16.13% (male 785/female 754) |
| Age structure: | 25-54 years: 43.19% (male 2,059/female 2,061) |
| Age structure: | 55-64 years: 6.11% (male 231/female 352) |
| Age structure: | 65 years and over: 2.12% (male 78/female 124) (2015 est.) |
| population pyramid: | Median age: |
| population pyramid: | total: 25.7 years |
| population pyramid: | male: 26.1 years |
| population pyramid: | female: 25.3 years (2015 est.) |
| Population growth rate: | 0.55% (2015 est.) |
| Birth rate: | 24.95 births/1,000 population (2015 est.) |
| Death rate: | 5.87 deaths/1,000 population (2015 est.) |
| Net migration rate: | -13.63 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 100% of total population (2015) |
| Urbanization: | rate of urbanization: 0.19% annual rate of change (2010-15 est.) |
| Sex ratio: | at birth: 0.83 male(s)/female |
| Sex ratio: | 0-14 years: 0.78 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 0.66 male(s)/female |
| Sex ratio: | 65 years and over: 0.63 male(s)/female |
| Sex ratio: | total population: 0.9 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 8.07 deaths/1,000 live births |
| Infant mortality rate: | male: 10.34 deaths/1,000 live births |
| Infant mortality rate: | female: 6.17 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 66.75 years |
| Life expectancy at birth: | male: 62.64 years |
| Life expectancy at birth: | female: 70.19 years (2015 est.) |
| Total fertility rate: | 2.88 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 35.6% (2007) |
| Health expenditures: | 6.3% of GDP (2013) |
| Physicians density: | 0.71 physicians/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.5% of population |
| Drinking water source: | total: 96.5% of population |
| unimproved: | urban: 3.5% of population |
| unimproved: | total: 3.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 65.6% of population |
| Sanitation facility access: | total: 65.6% of population |
| unimproved: | urban: 34.4% of population |
| unimproved: | total: 34.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 45.1% (2014) |
| Children under the age of 5 years underweight: | 4.8% (2007) |
| Education expenditures: | NA |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 10 years (2008) |
