| People and Society | New Caledonia |
| --- | --- |
| Nationality: | noun: New Caledonian(s) |
| Nationality: | adjective: New Caledonian |
| Ethnic groups: | Melanesian 44.1%, European 34.1%, Wallisian & Futunian 9%, Tahitian 2.6%, Indonesian 2.5%, Vietnamese 1.4%, Ni-Vanuatu 1.1%, other 5.2% (1996 census) |
| Languages: | French (official), 33 Melanesian-Polynesian dialects |
| Religions: | Roman Catholic 60%, Protestant 30%, other 10% |
| Population: | 264,022 (July 2013 est.) |
| Age structure: | 0-14 years: 24% (male 32,390/female 30,996) |
| Age structure: | 15-24 years: 17.1% (male 23,000/female 22,060) |
| Age structure: | 25-54 years: 42.6% (male 56,533/female 55,907) |
| Age structure: | 55-64 years: 8.1% (male 10,526/female 10,842) |
| Age structure: | 65 years and over: 8.2% (male 9,732/female 12,036) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 48.3 % |
| population pyramid: | youth dependency ratio: 33.6 % |
| population pyramid: | elderly dependency ratio: 14.7 % |
| population pyramid: | potential support ratio: 6.8 (2013) |
| Median age: | total: 30.7 years |
| Median age: | male: 30.1 years |
| Median age: | female: 31.3 years (2013 est.) |
| Population growth rate: | 1.45% (2013 est.) |
| Birth rate: | 15.81 births/1,000 population (2013 est.) |
| Death rate: | 5.39 deaths/1,000 population (2013 est.) |
| Net migration rate: | 4.12 migrant(s)/1,000 population |
| Net migration rate: | note: there has been steady emigration from Wallis and Futuna to New Caledonia (2013 est.) |
| Urbanization: | urban population: 57% of total population (2010) |
| Urbanization: | rate of urbanization: 1.4% annual rate of change (2010-15 est.) |
| Major urban areas - population: | NOUMEA (capital) 144,000 (2009) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.01 male(s)/female |
| Sex ratio: | 55-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.81 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2013 est.) |
| Infant mortality rate: | total: 5.54 deaths/1,000 live births |
| Infant mortality rate: | male: 6.54 deaths/1,000 live births |
| Infant mortality rate: | female: 4.49 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 77.13 years |
| Life expectancy at birth: | male: 73.08 years |
| Life expectancy at birth: | female: 81.37 years (2013 est.) |
| Total fertility rate: | 2.02 children born/woman (2013 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 96.2% |
| Literacy: | male: 96.8% |
| Literacy: | female: 95.5% (1996 census) |
