| People | Senegal |
| --- | --- |
| Population: | 11,126,832 (July 2005 est.) |
| Age structure: | 0-14 years: 42.8% (male 2,404,461/female 2,360,167) |
| Age structure: | 15-64 years: 54.1% (male 2,901,689/female 3,122,854) |
| Age structure: | 65 years and over: 3% (male 161,173/female 176,488) (2005 est.) |
| Median age: | total: 18.15 years |
| Median age: | male: 17.6 years |
| Median age: | female: 18.7 years (2005 est.) |
| Population growth rate: | 2.48% (2005 est.) |
| Birth rate: | 35.21 births/1,000 population (2005 est.) |
| Death rate: | 10.6 deaths/1,000 population (2005 est.) |
| Net migration rate: | 0.2 migrant(s)/1,000 population (2005 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.91 male(s)/female |
| Sex ratio: | total population: 0.97 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 55.51 deaths/1,000 live births |
| Infant mortality rate: | male: 59.17 deaths/1,000 live births |
| Infant mortality rate: | female: 51.75 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 58.9 years |
| Life expectancy at birth: | male: 57.37 years |
| Life expectancy at birth: | female: 60.47 years (2005 est.) |
| Total fertility rate: | 4.75 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 0.8% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 44,000 (2003 est.) |
| HIV/AIDS - deaths: | 3,500 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever, malaria, yellow fever, Crimean-Congo hemorrhagic fever, and Rift Valley fever are high risks in some locations |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | respiratory disease: meningococcal meningitis (2004) |
| Nationality: | noun: Senegalese (singular and plural) |
| Nationality: | adjective: Senegalese |
| Ethnic groups: | Wolof 43.3%, Pular 23.8%, Serer 14.7%, Jola 3.7%, Mandinka 3%, Soninke 1.1%, European and Lebanese 1%, other 9.4% |
| Religions: | Muslim 94%, indigenous beliefs 1%, Christian 5% (mostly Roman Catholic) |
| Languages: | French (official), Wolof, Pulaar, Jola, Mandinka |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 40.2% |
| Literacy: | male: 50% |
| Literacy: | female: 30.7% (2003 est.) |
