| People and Society | SLOVAKIA |
| --- | --- |
| Population: | 5,445,829 (July 2017 est.) |
| Nationality: | noun: Slovak(s) |
| Nationality: | adjective: Slovak |
| Ethnic groups: | Slovak 80.7%, Hungarian 8.5%, Romani 2%, other and unspecified 8.8% (2011 est.) |
| Ethnic groups: | note: Romani populations are usually underestimated in official statistics and may represent 7–11% of Slovakia's population |
| Languages: | Slovak (official) 78.6%, Hungarian 9.4%, Roma 2.3%, Ruthenian 1%, other or unspecified 8.8% (2011 est.) |
| Religions: | Roman Catholic 62%, Protestant 8.2%, Greek Catholic 3.8%, other or unspecified 12.5%, none 13.4% (2011 est.) |
| Age structure: | 0-14 years: 15.17% (male 424,039/female 402,284) |
| Age structure: | 15-24 years: 10.87% (male 305,058/female 286,902) |
| Age structure: | 25-54 years: 45.1% (male 1,240,943/female 1,215,260) |
| Age structure: | 55-64 years: 13.42% (male 347,221/female 383,852) |
| Age structure: | 65 years and over: 15.43% (male 325,738/female 514,532) (2017 est.) |
| Dependency ratios: | total dependency ratio: 41.5 |
| Dependency ratios: | youth dependency ratio: 21.6 |
| Dependency ratios: | elderly dependency ratio: 26.8 |
| Dependency ratios: | potential support ratio: 3.7 (2015 est.) |
| Median age: | total: 40.5 years |
| Median age: | male: 38.8 years |
| Median age: | female: 42.3 years (2017 est.) |
| Population growth rate: | -0.01% (2017 est.) |
| Birth rate: | 9.7 births/1,000 population (2017 est.) |
| Death rate: | 9.9 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0.1 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | a fairly even distribution throughout most of the country; slightly larger concentration in the west in proximity to the Czech border |
| Urbanization: | urban population: 53.4% of total population (2017) |
| Urbanization: | rate of urbanization: -0.09% annual rate of change (2015-20 est.) |
| Major urban areas - population: | BRATISLAVA (capital) 401,000 (2015) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.06 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.9 male(s)/female |
| Sex ratio: | 65 years and over: 0.62 male(s)/female |
| Sex ratio: | total population: 0.94 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 27.6 years (2014 est.) |
| Maternal mortality rate: | 6 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 5.1 deaths/1,000 live births |
| Infant mortality rate: | male: 5.7 deaths/1,000 live births |
| Infant mortality rate: | female: 4.5 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 77.3 years |
| Life expectancy at birth: | male: 73.7 years |
| Life expectancy at birth: | female: 81.1 years (2017 est.) |
| Total fertility rate: | 1.41 children born/woman (2017 est.) |
| Health expenditures: | 8.1% of GDP (2014) |
| Physicians density: | 3.39 physicians/1,000 population (2013) |
| Hospital bed density: | 6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.4% of population |
| Sanitation facility access: | rural: 98.2% of population |
| Sanitation facility access: | total: 98.8% of population |
| unimproved: | urban: 0.6% of population |
| unimproved: | rural: 1.8% of population |
| unimproved: | total: 1.2% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <1000 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Obesity - adult prevalence rate: | 20.5% (2016) |
| Education expenditures: | 4.1% of GDP (2013) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 14 years |
| School life expectancy (primary to tertiary education): | female: 16 years (2014) |
| Unemployment, youth ages 15-24: | total: 26.5% |
| Unemployment, youth ages 15-24: | male: 25.8% |
| Unemployment, youth ages 15-24: | female: 27.5% (2015 est.) |
