| People and Society | SLOVENIA |
| --- | --- |
| Population: | 1,972,126 (July 2017 est.) |
| Nationality: | noun: Slovene(s) |
| Nationality: | adjective: Slovenian |
| Ethnic groups: | Slovene 83.1%, Serb 2%, Croat 1.8%, Bosniak 1.1%, other or unspecified 12% (2002 census) |
| Languages: | Slovenian (official) 91.1%, Serbo-Croatian 4.5%, other or unspecified 4.4%, Italian (official, only in municipalities where Italian national communities reside), Hungarian (official, only in municipalities where Hungarian national communities reside) (2002 census) |
| Religions: | Catholic 57.8%, Muslim 2.4%, Orthodox 2.3%, other Christian 0.9%, unaffiliated 3.5%, other or unspecified 23%, none 10.1% (2002 census) |
| Age structure: | 0-14 years: 13.32% (male 135,371/female 127,246) |
| Age structure: | 15-24 years: 9.45% (male 95,546/female 90,744) |
| Age structure: | 25-54 years: 42.9% (male 427,723/female 418,349) |
| Age structure: | 55-64 years: 14.83% (male 143,642/female 148,821) |
| Age structure: | 65 years and over: 19.51% (male 157,794/female 226,890) (2017 est.) |
| Dependency ratios: | total dependency ratio: 48.7 |
| Dependency ratios: | youth dependency ratio: 21.9 |
| Dependency ratios: | elderly dependency ratio: 26.8 |
| Dependency ratios: | potential support ratio: 3.7 (2015 est.) |
| Median age: | total: 44.5 years |
| Median age: | male: 42.8 years |
| Median age: | female: 46.2 years (2017 est.) |
| Population growth rate: | -0.31% (2017 est.) |
| Birth rate: | 8.2 births/1,000 population (2017 est.) |
| Death rate: | 11.6 deaths/1,000 population (2017 est.) |
| Net migration rate: | 0.4 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | a fairly even distribution throughout most of the country, with urban areas attracting larger and denser populations; pockets in the mountainous northwest exhibit less density than elsewhere |
| Urbanization: | urban population: 49.6% of total population (2017) |
| Urbanization: | rate of urbanization: 0.18% annual rate of change (2015-20 est.) |
| Major urban areas - population: | LJUBLJANA (capital) 279,000 (2014) |
| Sex ratio: | at birth: 1.07 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.05 male(s)/female |
| Sex ratio: | 25-54 years: 1.02 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 29.1 years (2014 est.) |
| Maternal mortality rate: | 9 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 3.9 deaths/1,000 live births |
| Infant mortality rate: | male: 4.4 deaths/1,000 live births |
| Infant mortality rate: | female: 3.4 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 78.3 years |
| Life expectancy at birth: | male: 74.8 years |
| Life expectancy at birth: | female: 82.2 years (2017 est.) |
| Total fertility rate: | 1.36 children born/woman (2017 est.) |
| Health expenditures: | 9.2% of GDP (2014) |
| Physicians density: | 2.77 physicians/1,000 population (2014) |
| Hospital bed density: | 4.6 beds/1,000 population (2013) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.7% of population |
| Drinking water source: | rural: 99.4% of population |
| Drinking water source: | total: 99.5% of population |
| unimproved: | urban: 0.3% of population |
| unimproved: | rural: 0.6% of population |
| unimproved: | total: 0.5% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 99.1% of population |
| Sanitation facility access: | rural: 99.1% of population |
| Sanitation facility access: | total: 99.1% of population |
| unimproved: | urban: 0.9% of population |
| unimproved: | rural: 0.9% of population |
| unimproved: | total: 0.9% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2016 est.) |
| HIV/AIDS - people living with HIV/AIDS: | <1000 (2016 est.) |
| HIV/AIDS - deaths: | <100 (2016 est.) |
| Obesity - adult prevalence rate: | 20.2% (2016) |
| Education expenditures: | 5.5% of GDP (2013) |
| Literacy: | definition: NA |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.7% |
| Literacy: | female: 99.7% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 17 years |
| School life expectancy (primary to tertiary education): | male: 17 years |
| School life expectancy (primary to tertiary education): | female: 18 years (2014) |
| Unemployment, youth ages 15-24: | total: 16.3% |
| Unemployment, youth ages 15-24: | male: 17.6% |
| Unemployment, youth ages 15-24: | female: 14.6% (2015 est.) |
