| People and Society | Thailand |
| --- | --- |
| Nationality: | noun: Thai (singular and plural) |
| Nationality: | adjective: Thai |
| Ethnic groups: | Thai 95.9%, Burmese 2%, other 1.3%, unspecified 0.9% (2010 est.) |
| Languages: | Thai (official) 90.7%, Burmese 1.3%, other 8% |
| Languages: | note: English is a secondary language of the elite (2010 est.) |
| Religions: | Buddhist (official) 93.6%, Muslim 4.9%, Christian 1.2%, other 0.2%, none 0.1% (2010 est.) |
| Population: | 67,741,401 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 17.6% (male 6,117,993/female 5,827,981) |
| Age structure: | 15-24 years: 15% (male 5,194,332/female 4,999,669) |
| Age structure: | 25-54 years: 46.9% (male 15,685,882/female 16,097,245) |
| Age structure: | 55-64 years: 10.9% (male 3,468,620/female 3,893,925) |
| Age structure: | 65 years and over: 9.8% (male 2,830,418/female 3,625,336) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 38.6 % |
| population pyramid: | youth dependency ratio: 24.7 % |
| population pyramid: | elderly dependency ratio: 13.9 % |
| population pyramid: | potential support ratio: 7.2 (2014 est.) |
| Median age: | total: 36.2 years |
| Median age: | male: 35.3 years |
| Median age: | female: 37.2 years (2014 est.) |
| Population growth rate: | 0.35% (2014 est.) |
| Birth rate: | 11.26 births/1,000 population (2014 est.) |
| Death rate: | 7.72 deaths/1,000 population (2014 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 34.1% of total population (2011) |
| Urbanization: | rate of urbanization: 1.6% annual rate of change (2010-15 est.) |
| Major urban areas - population: | BANGKOK (capital) 8.426 million; Samut Prakan 1.212 million (2011) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 23.3 (2009 est.) |
| Maternal mortality rate: | 48 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 9.86 deaths/1,000 live births |
| Infant mortality rate: | male: 10.82 deaths/1,000 live births |
| Infant mortality rate: | female: 8.85 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 74.18 years |
| Life expectancy at birth: | male: 71 years |
| Life expectancy at birth: | female: 77.54 years (2014 est.) |
| Total fertility rate: | 1.5 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 79.6% (2009) |
| Health expenditures: | 4.1% of GDP (2011) |
| Physicians density: | 0.3 physicians/1,000 population (2004) |
| Hospital bed density: | 2.1 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 96.7% of population |
| Drinking water source: | rural: 95.3% of population |
| Drinking water source: | total: 95.8% of population |
| unimproved: | urban: 3.3% of population |
| unimproved: | rural: 4.7% of population |
| unimproved: | total: 4.2% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 88.7% of population |
| Sanitation facility access: | rural: 95.9% of population |
| Sanitation facility access: | total: 93.4% of population |
| unimproved: | urban: 11.3% of population |
| unimproved: | rural: 4.1% of population |
| unimproved: | total: 6.6% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 1.1% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 443,100 (2012 est.) |
| HIV/AIDS - deaths: | 20,800 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 8.8% (2008) |
| Children under the age of 5 years underweight: | 7% (2006) |
| Education expenditures: | 5.8% of GDP (2011) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.5% |
| Literacy: | male: 95.6% |
| Literacy: | female: 91.5% (2005 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2009) |
| Child labor - children ages 5-14: | total number: 818,399 |
| Child labor - children ages 5-14: | percentage: 8 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 2.8% |
| Unemployment, youth ages 15-24: | male: 2.5% |
| Unemployment, youth ages 15-24: | female: 3.1% (2012) |
