| People and Society | UNITED ARAB EMIRATES |
| --- | --- |
| Population: | 6,072,475 (July 2017 est.) |
| Population: | note: the UN estimated the country's total population was 9,400,145 as of mid-year 2017; immigrants make up about 88% of the total population, according to 2015 UN data (2016) |
| Nationality: | noun: Emirati(s) |
| Nationality: | adjective: Emirati |
| Ethnic groups: | Emirati 11.6%, South Asian 59.4% (includes Indian 38.2%, Bangladeshi 9.5%, Pakistani 9.4%, other 2.3%), Egyptian 10.2%, Philippine 6.1%, other 12.8% (2015 est.) |
| Languages: | Arabic (official), Persian, English, Hindi, Urdu |
| Religions: | Muslim (official) 76%, Christian 9%, other (primarily Hindu and Buddhist, less than 5% of the population consists of Parsi, Baha'i, Druze, Sikh, Ahmadi, Ismaili, Dawoodi Bohra Muslim, and Jewish) 15% |
| Religions: | note: represents the total population; about 85% of the population consists of noncitizens (2005 est.) |
| Age structure: | 0-14 years: 21.01% (male 652,718/female 622,850) |
| Age structure: | 15-24 years: 13.51% (male 487,558/female 332,829) |
| Age structure: | 25-54 years: 61.14% (male 2,828,731/female 884,233) |
| Age structure: | 55-64 years: 3.27% (male 147,429/female 51,097) |
| Age structure: | 65 years and over: 1.07% (male 40,226/female 24,804) (2017 est.) |
| Dependency ratios: | total dependency ratio: 17.4 |
| Dependency ratios: | youth dependency ratio: 16.2 |
| Dependency ratios: | elderly dependency ratio: 1.2 |
| Dependency ratios: | potential support ratio: 83.4 (2015 est.) |
| Median age: | total: 30.3 years |
| Median age: | male: 32.1 years |
| Median age: | female: 25 years (2017 est.) |
| Population growth rate: | 2.37% (2017 est.) |
| Birth rate: | 15.1 births/1,000 population (2017 est.) |
| Death rate: | 1.9 deaths/1,000 population (2017 est.) |
| Net migration rate: | 10.5 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | population is heavily concentrated to the northeast on the Musandam Peninsula; the three largest emirates - Abu Dhabi, Dubai, and Sharjah - are home to nearly 85% of the population |
| Urbanization: | urban population: 86.1% of total population (2017) |
| Urbanization: | rate of urbanization: 2.32% annual rate of change (2015-20 est.) |
| Major urban areas - population: | Dubai 2.415 million; Sharjah 1.279 million; ABU DHABI (capital) 1.145 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.47 male(s)/female |
| Sex ratio: | 25-54 years: 3.2 male(s)/female |
| Sex ratio: | 55-64 years: 2.93 male(s)/female |
| Sex ratio: | 65 years and over: 1.69 male(s)/female |
| Sex ratio: | total population: 2.18 male(s)/female (2016 est.) |
| Maternal mortality rate: | 6 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 10 deaths/1,000 live births |
| Infant mortality rate: | male: 11.6 deaths/1,000 live births |
| Infant mortality rate: | female: 8.3 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 77.7 years |
| Life expectancy at birth: | male: 75 years |
| Life expectancy at birth: | female: 80.4 years (2017 est.) |
| Total fertility rate: | 2.32 children born/woman (2017 est.) |
| Health expenditures: | 3.6% of GDP (2014) |
| Physicians density: | 1.56 physicians/1,000 population (2014) |
| Hospital bed density: | 1.1 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99.6% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 99.6% of population |
| unimproved: | urban: 0.4% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0.4% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98% of population |
| Sanitation facility access: | rural: 95.2% of population |
| Sanitation facility access: | total: 97.6% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 4.8% of population |
| unimproved: | total: 2.4% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 31.7% (2016) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 93.8% |
| Literacy: | male: 93.1% |
| Literacy: | female: 95.8% (2015 est.) |
| Unemployment, youth ages 15-24: | total: 12.1% |
| Unemployment, youth ages 15-24: | male: 7.9% |
| Unemployment, youth ages 15-24: | female: 21.8% (2008 est.) |
