| People and Society | Uzbekistan |
| --- | --- |
| Nationality: | noun: Uzbekistani |
| Nationality: | adjective: Uzbekistani |
| Ethnic groups: | Uzbek 80%, Russian 5.5%, Tajik 5%, Kazakh 3%, Karakalpak 2.5%, Tatar 1.5%, other 2.5% (1996 est.) |
| Languages: | Uzbek (official) 74.3%, Russian 14.2%, Tajik 4.4%, other 7.1% |
| Religions: | Muslim 88% (mostly Sunni), Eastern Orthodox 9%, other 3% |
| Population: | 28,661,637 (July 2013 est.) |
| Age structure: | 0-14 years: 25.3% (male 3,718,802/female 3,539,436) |
| Age structure: | 15-24 years: 21.1% (male 3,062,438/female 2,990,299) |
| Age structure: | 25-54 years: 42.5% (male 6,043,922/female 6,128,173) |
| Age structure: | 55-64 years: 6.4% (male 861,590/female 965,635) |
| Age structure: | 65 years and over: 4.7% (male 576,908/female 774,434) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 49 % |
| population pyramid: | youth dependency ratio: 42.6 % |
| population pyramid: | elderly dependency ratio: 6.4 % |
| population pyramid: | potential support ratio: 15.7 (2013) |
| Median age: | total: 26.6 years |
| Median age: | male: 26.1 years |
| Median age: | female: 27.2 years (2013 est.) |
| Population growth rate: | 0.94% (2013 est.) |
| Birth rate: | 17.2 births/1,000 population (2013 est.) |
| Death rate: | 5.29 deaths/1,000 population (2013 est.) |
| Net migration rate: | -2.55 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 36.2% of total population (2011) |
| Urbanization: | rate of urbanization: 1.27% annual rate of change (2010-15 est.) |
| Major urban areas - population: | TASHKENT (capital) 2.201 million (2009) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.02 male(s)/female |
| Sex ratio: | 25-54 years: 0.99 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.75 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 23.8 (2006 est.) |
| Maternal mortality rate: | 28 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 20.51 deaths/1,000 live births |
| Infant mortality rate: | male: 24.32 deaths/1,000 live births |
| Infant mortality rate: | female: 16.48 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 73.03 years |
| Life expectancy at birth: | male: 70 years |
| Life expectancy at birth: | female: 76.25 years (2013 est.) |
| Total fertility rate: | 1.83 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 64.9% (2006) |
| Health expenditures: | 5.4% of GDP (2011) |
| Physicians density: | 2.54 physicians/1,000 population (2010) |
| Hospital bed density: | 4.5 beds/1,000 population (2010) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 98% of population |
| Drinking water source: | rural: 81% of population |
| Drinking water source: | total: 87% of population |
| unimproved: | urban: 2% of population |
| unimproved: | rural: 19% of population |
| unimproved: | total: 13% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 100% of population |
| Sanitation facility access: | total: 100% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 28,000 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 500 (2009 est.) |
| Obesity - adult prevalence rate: | 15.1% (2008) |
| Children under the age of 5 years underweight: | 4.4% (2006) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.4% |
| Literacy: | male: 99.6% |
| Literacy: | female: 99.2% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2011) |
