| People | Congo, Republic of the |
| --- | --- |
| Population: | 3,039,126 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality and death rates, lower population and growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2005 est.) |
| Age structure: | 0-14 years: 37.3% (male 571,011/female 563,414) |
| Age structure: | 15-64 years: 59% (male 886,297/female 907,348) |
| Age structure: | 65 years and over: 3.7% (male 45,799/female 65,257) (2005 est.) |
| Median age: | total: 20.7 years |
| Median age: | male: 20.2 years |
| Median age: | female: 21.1 years (2005 est.) |
| Population growth rate: | 1.31% (2005 est.) |
| Birth rate: | 27.88 births/1,000 population (2005 est.) |
| Death rate: | 14.82 deaths/1,000 population (2005 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2005 est.) |
| Sex ratio: | at birth: 1.01 male(s)/female |
| Sex ratio: | under 15 years: 1.01 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.7 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2005 est.) |
| Infant mortality rate: | total: 92.41 deaths/1,000 live births |
| Infant mortality rate: | male: 98.48 deaths/1,000 live births |
| Infant mortality rate: | female: 86.16 deaths/1,000 live births (2005 est.) |
| Life expectancy at birth: | total population: 52.26 years |
| Life expectancy at birth: | male: 51.17 years |
| Life expectancy at birth: | female: 53.39 years (2005 est.) |
| Total fertility rate: | 3.54 children born/woman (2005 est.) |
| HIV/AIDS - adult prevalence rate: | 4.9% (2003 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 90,000 (2003 est.) |
| HIV/AIDS - deaths: | 9,700 (2003 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria (2004) |
| Nationality: | noun: Congolese (singular and plural) |
| Nationality: | adjective: Congolese or Congo |
| Ethnic groups: | Kongo 48%, Sangha 20%, M'Bochi 12%, Teke 17%, Europeans and other 3% |
| Ethnic groups: | note: Europeans estimated at 8,500, mostly French, before the 1997 civil war; may be half that in 1998, following the widespread destruction of foreign businesses in 1997 |
| Religions: | Christian 50%, animist 48%, Muslim 2% |
| Languages: | French (official), Lingala and Monokutuba (lingua franca trade languages), many local languages and dialects (of which Kikongo is the most widespread) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 83.8% |
| Literacy: | male: 89.6% |
| Literacy: | female: 78.4% (2003 est.) |
