| People and Society | GUINEA |
| --- | --- |
| Population: | 12,093,349 (July 2016 est.) |
| Nationality: | noun: Guinean(s) |
| Nationality: | adjective: Guinean |
| Ethnic groups: | Fulani (Peul) 33.9%, Malinke 31.1%, Soussou 19.1%, Guerze 6%, Kissi 4.7%, Toma 2.6%, other/no answer 2.7% (2012 est.) |
| Languages: | French (official) |
| Languages: | note: each ethnic group has its own language |
| Religions: | Muslim 86.7%, Christian 8.9%, animist/other/none 4.4% (2012 est.) |
| Demographic profile: | Guinea’s strong population growth is a result of declining mortality rates and sustained elevated fertility. The population growth rate was somewhat tempered in the 2000s because of a period of net outmigration. Although life expectancy and mortality rates have improved over the last two decades, the nearly universal practice of female genital cutting continues to contribute to high infant and maternal mortality rates. Guinea’s total fertility remains high at about 5 children per woman because of the ongoing preference for larger families, low contraceptive usage and availability, a lack of educational attainment and empowerment among women, and poverty. A lack of literacy and vocational training programs limit job prospects for youths, but even those with university degrees often have no option but to work in the informal sector. About 60% of the country’s large youth population is unemployed. |
| Demographic profile: | Tensions and refugees have spilled over Guinea’s borders with Sierra Leone, Liberia, and Cote d’Ivoire. During the 1990s Guinea harbored as many as half a million refugees from Sierra Leone and Liberia, more refugees than any other African country for much of that decade. About half sought refuge in the volatile “Parrot’s Beak” region of southwest Guinea, a wedge of land jutting into Sierra Leone near the Liberian border. Many were relocated within Guinea in the early 2000s because the area suffered repeated cross-border attacks from various government and rebel forces, as well as anti-refugee violence. As of 2016, Guinea sheltered more than 7,000 Ivoirians. |
| Age structure: | 0-14 years: 41.7% (male 2,547,037/female 2,495,495) |
| Age structure: | 15-24 years: 19.67% (male 1,200,618/female 1,177,633) |
| Age structure: | 25-54 years: 30.52% (male 1,851,200/female 1,839,952) |
| Age structure: | 55-64 years: 4.46% (male 258,455/female 281,497) |
| Age structure: | 65 years and over: 3.65% (male 195,054/female 246,408) (2016 est.) |
| Dependency ratios: | total dependency ratio: 83.8% |
| Dependency ratios: | youth dependency ratio: 78.2% |
| Dependency ratios: | elderly dependency ratio: 5.6% |
| Dependency ratios: | potential support ratio: 17.8% (2015 est.) |
| Median age: | total: 18.8 years |
| Median age: | male: 18.6 years |
| Median age: | female: 19.1 years (2016 est.) |
| Population growth rate: | 2.62% (2016 est.) |
| Birth rate: | 35.4 births/1,000 population (2016 est.) |
| Death rate: | 9.2 deaths/1,000 population (2016 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2016 est.) |
| Urbanization: | urban population: 37.2% of total population (2015) |
| Urbanization: | rate of urbanization: 3.82% annual rate of change (2010-15 est.) |
| Major urban areas - population: | CONAKRY (capital) 1.936 million (2015) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | 0-14 years: 1.02 male(s)/female |
