| People and Society | Madagascar |
| --- | --- |
| Population: | 25,683,610 (July 2018 est.) |
| Nationality: | noun: Malagasy (singular and plural) |
| Nationality: | adjective: Malagasy |
| Ethnic groups: | Malayo-Indonesian (Merina and related Betsileo), Cotiers (mixed African, Malayo-Indonesian, and Arab ancestry - Betsimisaraka, Tsimihety, Antaisaka, Sakalava), French, Indian, Creole, Comoran |
| Languages: | French (official), Malagasy (official), English |
| Religions: | Christian, indigenous religionist, Muslim |
| Demographic profile: | Madagascarâ€™s youthful population â€“ just over 60% are under the age of 25 â€“ and high total fertility rate of more than 4 children per women ensures that the Malagasy population will continue its rapid growth trajectory for the foreseeable future. The population is predominantly rural and poor; chronic malnutrition is prevalent, and large families are the norm. Many young Malagasy girls are withdrawn from school, marry early (often pressured to do so by their parents), and soon begin having children. Early childbearing, coupled with Madagascarâ€™s widespread poverty and lack of access to skilled health care providers during delivery, increases the risk of death and serious health problems for young mothers and their babies. |
| Demographic profile: | Child marriage perpetuates gender inequality and is prevalent among the poor, the uneducated, and rural households â€“ as of 2013, of Malagasy women aged 20 to 24, more than 40% were married and more than a third had given birth by the age of 18. Although the legal age for marriage is 18, parental consent is often given for earlier marriages or the law is flouted, especially in rural areas that make up nearly 65% of the country. Forms of arranged marriage whereby young girls are married to older men in exchange for oxen or money are traditional. If a union does not work out, a girl can be placed in another marriage, but the dowry paid to her family diminishes with each unsuccessful marriage. |
| Demographic profile: | Madagascarâ€™s population consists of 18 main ethnic groups, all of whom speak the same Malagasy language. Most Malagasy are multi-ethnic, however, reflecting the islandâ€™s diversity of settlers and historical contacts (see Background). Madagascarâ€™s legacy of hierarchical societies practicing domestic slavery (most notably the Merina Kingdom of the 16th to the 19th century) is evident today in persistent class tension, with some ethnic groups maintaining a caste system. Slave descendants are vulnerable to unequal access to education and jobs, despite Madagascarâ€™s constitutional guarantee of free compulsory primary education and its being party to several international conventions on human rights. Historical distinctions also remain between central highlanders and coastal people. |
| Age structure: | 0-14 years: 39.55% (male 5,119,804 /female 5,037,438) |
