| People and Society | Mozambique |
| --- | --- |
| Nationality: | noun: Mozambican(s) |
| Nationality: | adjective: Mozambican |
| Ethnic groups: | African 99.66% (Makhuwa, Tsonga, Lomwe, Sena, and others), Europeans 0.06%, Euro-Africans 0.2%, Indians 0.08% |
| Languages: | Emakhuwa 25.3%, Portuguese (official) 10.7%, Xichangana 10.3%, Cisena 7.5%, Elomwe 7%, Echuwabo 5.1%, other Mozambican languages 30.1%, other 4% (1997 census) |
| Religions: | Roman Catholic 28.4%, Muslim 17.9%, Zionist Christian 15.5%, Protestant 12.2% (includes Pentecostal 10.9% and Anglican 1.3%), other 6.7%, none 18.7%, unspecified 0.7% (2007 est.) |
| Population: | 24,692,144 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2014 est.) |
| Age structure: | 0-14 years: 45.3% (male 5,627,116/female 5,566,260) |
| Age structure: | 15-24 years: 21.3% (male 2,566,298/female 2,689,695) |
| Age structure: | 25-54 years: 27% (male 3,113,095/female 3,553,266) |
| Age structure: | 55-64 years: 3.5% (male 404,988/female 448,814) |
| Age structure: | 65 years and over: 2.9% (male 332,013/female 390,599) (2014 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 94.5 % |
| population pyramid: | youth dependency ratio: 88.1 % |
| population pyramid: | elderly dependency ratio: 6.4 % |
| population pyramid: | potential support ratio: 15.6 (2014 est.) |
| Median age: | total: 16.9 years |
| Median age: | male: 16.3 years |
| Median age: | female: 17.5 years (2014 est.) |
| Population growth rate: | 2.45% (2014 est.) |
| Birth rate: | 38.83 births/1,000 population (2014 est.) |
| Death rate: | 12.34 deaths/1,000 population (2014 est.) |
| Net migration rate: | -2.02 migrant(s)/1,000 population (2014 est.) |
| Urbanization: | urban population: 31.2% of total population (2011) |
| Urbanization: | rate of urbanization: 3.05% annual rate of change (2010-15 est.) |
| Major urban areas - population: | MAPUTO (capital) 1.15 million; Matola 790,000 (2011) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | 0-14 years: 1.01 male(s)/female |
| Sex ratio: | 15-24 years: 0.95 male(s)/female |
| Sex ratio: | 25-54 years: 0.88 male(s)/female |
| Sex ratio: | 55-64 years: 0.95 male(s)/female |
| Sex ratio: | 65 years and over: 0.85 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2014 est.) |
| Mother's mean age at first birth: | 18.9 |
| Mother's mean age at first birth: | median age at first birth among women 25-29 (2011 est.) |
| Maternal mortality rate: | 490 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 72.42 deaths/1,000 live births |
| Infant mortality rate: | male: 74.53 deaths/1,000 live births |
| Infant mortality rate: | female: 70.26 deaths/1,000 live births (2014 est.) |
| Life expectancy at birth: | total population: 52.6 years |
| Life expectancy at birth: | male: 51.85 years |
| Life expectancy at birth: | female: 53.37 years (2014 est.) |
| Total fertility rate: | 5.27 children born/woman (2014 est.) |
| Contraceptive prevalence rate: | 11.6% (2011) |
| Health expenditures: | 6.6% of GDP (2011) |
| Physicians density: | 0.03 physicians/1,000 population (2008) |
| Hospital bed density: | 0.7 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 80.3% of population |
| Drinking water source: | rural: 35% of population |
| Drinking water source: | total: 49.2% of population |
| unimproved: | urban: 19.7% of population |
| unimproved: | rural: 65% of population |
| unimproved: | total: 50.8% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 43.6% of population |
| Sanitation facility access: | rural: 10.7% of population |
| Sanitation facility access: | total: 21% of population |
| unimproved: | urban: 56.4% of population |
| unimproved: | rural: 89.3% of population |
| unimproved: | total: 79% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | 11.1% (2012 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1,554,700 (2012 est.) |
| HIV/AIDS - deaths: | 76,800 (2012 est.) |
| Major infectious diseases: | degree of risk: very high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: malaria and dengue fever |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2013) |
| Obesity - adult prevalence rate: | 4.9% (2008) |
| Children under the age of 5 years underweight: | 15.6% (2011) |
| Education expenditures: | 5% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 56.1% |
| Literacy: | male: 70.8% |
| Literacy: | female: 42.8% (2010 est.) |
| School life expectancy (primary to tertiary education): | total: 10 years |
| School life expectancy (primary to tertiary education): | male: 10 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2011) |
| Child labor - children ages 5-14: | total number: 1,369,080 |
| Child labor - children ages 5-14: | percentage: 22 % (2008 est.) |
