| People and Society | South Africa |
| --- | --- |
| Nationality: | noun: South African(s) |
| Nationality: | adjective: South African |
| Ethnic groups: | black African 79%, white 9.6%, colored 8.9%, Indian/Asian 2.5% (2001 census) |
| Languages: | IsiZulu (official) 23.82%, IsiXhosa (official) 17.64%, Afrikaans (official) 13.35%, Sepedi (offcial) 9.39%, English (official) 8.2%, Setswana (official) 8.2%, Sesotho (official) 7.93%, Xitsonga (official) 4.44%, siSwati (official) 2.66%, Tshivenda (official) 2.28%, isiNdebele (official) 1.59%, other 0.5% (2001 census) |
| Religions: | Protestant 36.6% (Zionist Christian 11.1%, Pentecostal/Charismatic 8.2%, Methodist 6.8%, Dutch Reformed 6.7%, Anglican 3.8%), Catholic 7.1%, Muslim 1.5%, other Christian 36%, other 2.3%, unspecified 1.4%, none 15.1% (2001 census) |
| Population: | 49,004,031 (July 2011 est.) |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected |
| Age structure: | 0-14 years: 28.5% (male 6,998,726/female 6,959,542) |
| Age structure: | 15-64 years: 65.8% (male 16,287,314/female 15,972,046) |
| Age structure: | 65 years and over: 5.7% (male 1,125,709/female 1,660,694) (2011 est.) |
| Median age: | total: 25 years |
| Median age: | male: 24.7 years |
| Median age: | female: 25.3 years (2011 est.) |
| Population growth rate: | -0.38% (2011 est.) |
| Birth rate: | 19.48 births/1,000 population (2011 est.) |
| Death rate: | 17.09 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -6.19 migrant(s)/1,000 population |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2011 est.) |
| Urbanization: | urban population: 62% of total population (2010) |
| Urbanization: | rate of urbanization: 1.2% annual rate of change (2010-15 est.) |
| Major cities - population: | Johannesburg 3.607 million; Cape Town 3.353 million; Ekurhuleni (East Rand) 3.144 million; Durban 2.837 million; PRETORIA (capital) 1.404 million (2009) |
| Sex ratio: | at birth: 1.02 male(s)/female |
| Sex ratio: | under 15 years: 1 male(s)/female |
| Sex ratio: | 15-64 years: 1.02 male(s)/female |
| Sex ratio: | 65 years and over: 0.68 male(s)/female |
| Sex ratio: | total population: 0.99 male(s)/female (2011 est.) |
| Maternal mortality rate: | 410 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 43.2 deaths/1,000 live births |
| Infant mortality rate: | male: 47.19 deaths/1,000 live births |
| Infant mortality rate: | female: 39.14 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 49.33 years |
| Life expectancy at birth: | male: 50.24 years |
| Life expectancy at birth: | female: 48.39 years (2011 est.) |
| Total fertility rate: | 2.3 children born/woman (2011 est.) |
| Health expenditures: | 8.5% of GDP (2009) |
| Physicians density: | 0.77 physicians/1,000 population (2004) |
| Hospital bed density: | 2.84 beds/1,000 population (2005) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 99% of population |
| Drinking water source: | rural: 78% of population |
| Drinking water source: | total: 91% of population |
| unimproved: | urban: 1% of population |
| unimproved: | rural: 22% of population |
| unimproved: | total: 9% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 84% of population |
| Sanitation facility access: | rural: 65% of population |
| Sanitation facility access: | total: 77% of population |
| unimproved: | urban: 16% of population |
| unimproved: | rural: 35% of population |
| unimproved: | total: 23% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 17.8% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 5.6 million (2009 est.) |
| HIV/AIDS - deaths: | 310,000 (2009 est.) |
| Major infectious diseases: | degree of risk: intermediate |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | water contact disease: schistosomiasis (2009) |
| Education expenditures: | 5.4% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.4% |
| Literacy: | male: 87% |
| Literacy: | female: 85.7% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2004) |
| Unemployment, youth ages 15-24: | total: 48.2% |
| Unemployment, youth ages 15-24: | male: 44.6% |
| Unemployment, youth ages 15-24: | female: 52.5% (2009) |
