| People | Zimbabwe |
| --- | --- |
| Population: | 11,350,111 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2008 est.) |
| Age structure: | 0-14 years: 43.9% (male 2,514,135/female 2,465,715) |
| Age structure: | 15-64 years: 52.3% (male 2,671,164/female 3,260,457) |
| Age structure: | 65 years and over: 3.9% (male 194,854/female 243,786) (2008 est.) |
| Median age: | total: 17.6 years |
| Median age: | male: 16.4 years |
| Median age: | female: 18.8 years (2008 est.) |
| Population growth rate: | -0.787% (2008 est.) |
| Birth rate: | 31.62 births/1,000 population (2008 est.) |
| Death rate: | 17.29 deaths/1,000 population (2008 est.) |
| Net migration rate: | NA |
| Net migration rate: | note: there is an increasing flow of Zimbabweans into South Africa and Botswana in search of better economic opportunities (2008 est.) |
| Sex ratio: | at birth: 1.03 male(s)/female |
| Sex ratio: | under 15 years: 1.02 male(s)/female |
| Sex ratio: | 15-64 years: 0.82 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 0.9 male(s)/female (2008 est.) |
| Infant mortality rate: | total: 33.86 deaths/1,000 live births |
| Infant mortality rate: | male: 36.5 deaths/1,000 live births |
| Infant mortality rate: | female: 31.14 deaths/1,000 live births (2008 est.) |
| Life expectancy at birth: | total population: 44.28 years |
| Life expectancy at birth: | male: 45.08 years |
| Life expectancy at birth: | female: 43.46 years (2008 est.) |
| Total fertility rate: | 3.72 children born/woman (2008 est.) |
| HIV/AIDS - adult prevalence rate: | 24.6% (2001 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 1.8 million (2001 est.) |
| HIV/AIDS - deaths: | 170,000 (2003 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A, and typhoid fever |
| Major infectious diseases: | vectorborne disease: malaria |
| Major infectious diseases: | water contact disease: schistosomiasis |
| Major infectious diseases: | animal contact disease: rabies (2008) |
| Nationality: | noun: Zimbabwean(s) |
| Nationality: | adjective: Zimbabwean |
| Ethnic groups: | African 98% (Shona 82%, Ndebele 14%, other 2%), mixed and Asian 1%, white less than 1% |
| Religions: | syncretic (part Christian, part indigenous beliefs) 50%, Christian 25%, indigenous beliefs 24%, Muslim and other 1% |
| Languages: | English (official), Shona, Sindebele (the language of the Ndebele, sometimes called Ndebele), numerous but minor tribal dialects |
| Literacy: | definition: age 15 and over can read and write English |
| Literacy: | total population: 90.7% |
| Literacy: | male: 94.2% |
| Literacy: | female: 87.2% (2003 est.) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2003) |
| Education expenditures: | 4.6% of GDP (2000) |
