| People and Society | FRENCH POLYNESIA |
| --- | --- |
| Population: | 287,881 (July 2017 est.) |
| Nationality: | noun: French Polynesian(s) |
| Nationality: | adjective: French Polynesian |
| Ethnic groups: | Polynesian 78%, Chinese 12%, local French 6%, metropolitan French 4% |
| Languages: | French (official) 70%, Polynesian (official) 28.2%, other 1.8% (2012 est.) |
| Religions: | Protestant 54%, Roman Catholic 30%, other 10%, no religion 6% |
| Age structure: | 0-14 years: 22.52% (male 33,340/female 31,481) |
| Age structure: | 15-24 years: 15.73% (male 23,533/female 21,745) |
| Age structure: | 25-54 years: 44.36% (male 65,464/female 62,254) |
| Age structure: | 55-64 years: 9.42% (male 13,947/female 13,178) |
| Age structure: | 65 years and over: 7.97% (male 11,090/female 11,849) (2017 est.) |
| Dependency ratios: | total dependency ratio: 45.3 |
| Dependency ratios: | youth dependency ratio: 34.8 |
| Dependency ratios: | elderly dependency ratio: 10.5 |
| Dependency ratios: | potential support ratio: 9.5 (2015 est.) |
| Median age: | total: 31.9 years |
| Median age: | male: 31.7 years |
| Median age: | female: 32.1 years (2017 est.) |
| Population growth rate: | 0.88% (2017 est.) |
| Birth rate: | 14.8 births/1,000 population (2017 est.) |
| Death rate: | 5.2 deaths/1,000 population (2017 est.) |
| Net migration rate: | -0.8 migrant(s)/1,000 population (2017 est.) |
| Population distribution: | the majority of the population lives in the Society Islands, one of five archipelagos that includes the most populous island - Tahiti - with approximately 70% of the nation's population |
| Urbanization: | urban population: 55.7% of total population (2017) |
| Urbanization: | rate of urbanization: 0.86% annual rate of change (2015-20 est.) |
| Major urban areas - population: | PAPEETE (capital) 133,000 (2014) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.06 male(s)/female |
| Sex ratio: | 15-24 years: 1.08 male(s)/female |
| Sex ratio: | 25-54 years: 1.05 male(s)/female |
| Sex ratio: | 55-64 years: 1.06 male(s)/female |
| Sex ratio: | 65 years and over: 0.94 male(s)/female |
| Sex ratio: | total population: 1.05 male(s)/female (2016 est.) |
| Infant mortality rate: | total: 4.6 deaths/1,000 live births |
| Infant mortality rate: | male: 5.1 deaths/1,000 live births |
| Infant mortality rate: | female: 4.1 deaths/1,000 live births (2017 est.) |
| Life expectancy at birth: | total population: 77.4 years |
| Life expectancy at birth: | male: 75.1 years |
| Life expectancy at birth: | female: 79.8 years (2017 est.) |
| Total fertility rate: | 1.88 children born/woman (2017 est.) |
| Physicians density: | 3.17 physicians/1,000 population (2009) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98.5% of population |
| Sanitation facility access: | rural: 98.5% of population |
| Sanitation facility access: | total: 98.5% of population |
| unimproved: | urban: 1.5% of population |
| unimproved: | rural: 1.5% of population |
| unimproved: | total: 1.5% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Unemployment, youth ages 15-24: | total: 56.7% |
| Unemployment, youth ages 15-24: | male: 54.5% |
| Unemployment, youth ages 15-24: | female: 59.7% (2012 est.) |
