| People and Society | TURKMENISTAN |
| --- | --- |
| Population: | 5,291,317 (July 2016 est.) |
| Nationality: | noun: Turkmen(s) |
| Nationality: | adjective: Turkmen |
| Ethnic groups: | Turkmen 85%, Uzbek 5%, Russian 4%, other 6% (2003) |
| Languages: | Turkmen (official) 72%, Russian 12%, Uzbek 9%, other 7% |
| Religions: | Muslim 89%, Eastern Orthodox 9%, unknown 2% |
| Age structure: | 0-14 years: 25.95% (male 695,752/female 677,166) |
| Age structure: | 15-24 years: 19.04% (male 506,856/female 500,647) |
| Age structure: | 25-54 years: 42.86% (male 1,125,058/female 1,142,870) |
| Age structure: | 55-64 years: 7.59% (male 189,464/female 212,330) |
| Age structure: | 65 years and over: 4.56% (male 105,140/female 136,034) (2016 est.) |
| Dependency ratios: | total dependency ratio: 47.9% |
| Dependency ratios: | youth dependency ratio: 41.7% |
| Dependency ratios: | elderly dependency ratio: 6.1% |
| Dependency ratios: | potential support ratio: 16.3% (2015 est.) |
| Median age: | total: 27.5 years |
| Median age: | male: 27 years |
| Median age: | female: 28 years (2016 est.) |
| Population growth rate: | 1.13% (2016 est.) |
| Birth rate: | 19.3 births/1,000 population (2016 est.) |
| Death rate: | 6.1 deaths/1,000 population (2016 est.) |
| Net migration rate: | -1.8 migrant(s)/1,000 population (2016 est.) |
| Population distribution: | the most densly populated areas are the southern, eastern, and northeastern oases; approximately 50% of the population lives in and around the capital of Ashgabat |
| Urbanization: | urban population: 50% of total population (2015) |
| Urbanization: | rate of urbanization: 1.94% annual rate of change (2010-15 est.) |
| Major urban areas - population: | ASHGABAT (capital) 746,000 (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 0.98 male(s)/female |
| Sex ratio: | 55-64 years: 0.89 male(s)/female |
| Sex ratio: | 65 years and over: 0.77 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2016 est.) |
| Mother's mean age at first birth: | 24.6 (2006 est.) |
| Maternal mortality rate: | 42 deaths/100,000 live births (2015 est.) |
| Infant mortality rate: | total: 35.5 deaths/1,000 live births |
| Infant mortality rate: | male: 42.7 deaths/1,000 live births |
| Infant mortality rate: | female: 28.1 deaths/1,000 live births (2016 est.) |
| Life expectancy at birth: | total population: 70.1 years |
| Life expectancy at birth: | male: 67.1 years |
| Life expectancy at birth: | female: 73.3 years (2016 est.) |
| Total fertility rate: | 2.08 children born/woman (2016 est.) |
| Contraceptive prevalence rate: | 48% (2006) |
| Health expenditures: | 2.1% of GDP (2014) |
| Hospital bed density: | 4 beds/1,000 population (2012) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 89.1% of population |
| Drinking water source: | rural: 53.7% of population |
| Drinking water source: | total: 71.1% of population |
| unimproved: | urban: 10.9% of population |
| unimproved: | rural: 46.3% of population |
| unimproved: | total: 28.9% of population (2012 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 100% of population |
| Sanitation facility access: | rural: 98.2% of population |
| Sanitation facility access: | total: 99.1% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 1.8% of population |
| unimproved: | total: 0.9% of population (2012 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 18.8% (2014) |
| Children under the age of 5 years underweight: | 9.2% (2006) |
| Education expenditures: | 3% of GDP (2012) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 99.7% |
| Literacy: | male: 99.8% |
| Literacy: | female: 99.6% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 11 years |
| School life expectancy (primary to tertiary education): | male: 11 years |
| School life expectancy (primary to tertiary education): | female: 11 years (2014) |
