| People | Thailand |
| --- | --- |
| Population: | 67,089,500 |
| Population: | note: estimates for this country explicitly take into account the effects of excess mortality due to AIDS; this can result in lower life expectancy, higher infant mortality, higher death rates, lower population growth rates, and changes in the distribution of population by age and sex than would otherwise be expected (July 2010 est.) |
| Age structure: | 0-14 years: 20.8% (male 7,013,877/female 6,690,554) |
| Age structure: | 15-64 years: 70.5% (male 23,000,156/female 23,519,298) |
| Age structure: | 65 years and over: 8.7% (male 2,612,269/female 3,162,282) (2010 est.) |
| Median age: | total: 34 years |
| Median age: | male: 33.2 years |
| Median age: | female: 34.8 years (2010 est.) |
| Population growth rate: | 0.653% (2010 est.) |
| Birth rate: | 13.01 births/1,000 population (2010 est.) |
| Death rate: | 6.47 deaths/1,000 population (July 2010 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population |
| Urbanization: | urban population: 33% of total population (2008) |
| Urbanization: | rate of urbanization: 1.7% annual rate of change (2005-10 est.) |
| Sex ratio: | at birth: 1.054 male(s)/female |
| Sex ratio: | under 15 years: 1.05 male(s)/female |
| Sex ratio: | 15-64 years: 0.98 male(s)/female |
| Sex ratio: | 65 years and over: 0.82 male(s)/female |
| Sex ratio: | total population: 0.98 male(s)/female (2010 est.) |
| Infant mortality rate: | total: 16.71 deaths/1,000 live births |
| Infant mortality rate: | male: 17.7 deaths/1,000 live births |
| Infant mortality rate: | female: 15.66 deaths/1,000 live births (2010 est.) |
| Life expectancy at birth: | total population: 75.02 years |
| Life expectancy at birth: | male: 72.94 years |
| Life expectancy at birth: | female: 77.21 years (2010 est.) |
| Total fertility rate: | 1.65 children born/woman (2010 est.) |
| HIV/AIDS - adult prevalence rate: | 1.4% (2007 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 610,000 (2007 est.) |
| HIV/AIDS - deaths: | 30,000 (2007 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial diarrhea |
| Major infectious diseases: | vectorborne diseases: dengue fever, Japanese encephalitis, and malaria |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2009) |
| Nationality: | noun: Thai (singular and plural) |
| Nationality: | adjective: Thai |
| Ethnic groups: | Thai 75%, Chinese 14%, other 11% |
| Religions: | Buddhist 94.6%, Muslim 4.6%, Christian 0.7%, other 0.1% (2000 census) |
| Languages: | Thai, English (secondary language of the elite), ethnic and regional dialects |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 92.6% |
| Literacy: | male: 94.9% |
| Literacy: | female: 90.5% (2000 census) |
| School life expectancy (primary to tertiary education): | total: 12 years |
| School life expectancy (primary to tertiary education): | male: 12 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2009) |
| Education expenditures: | 4.9% of GDP (2008) |
