| People and Society | Georgia |
| --- | --- |
| Nationality: | noun: Georgian(s) |
| Nationality: | adjective: Georgian |
| Ethnic groups: | Georgian 83.8%, Azeri 6.5%, Armenian 5.7%, Russian 1.5%, other 2.5% (2002 census) |
| Languages: | Georgian (official) 71%, Russian 9%, Armenian 7%, Azeri 6%, other 7% |
| Languages: | note: Abkhaz is the official language in Abkhazia |
| Religions: | Orthodox Christian (official) 83.9%, Muslim 9.9%, Armenian-Gregorian 3.9%, Catholic 0.8%, other 0.8%, none 0.7% (2002 census) |
| Population: | 4,585,874 (July 2011 est.) |
| Age structure: | 0-14 years: 15.6% (male 383,856/female 333,617) |
| Age structure: | 15-64 years: 68.3% (male 1,511,844/female 1,620,727) |
| Age structure: | 65 years and over: 16% (male 293,143/female 442,687) (2011 est.) |
| Median age: | total: 39.1 years |
| Median age: | male: 36.6 years |
| Median age: | female: 41.6 years (2011 est.) |
| Population growth rate: | -0.326% (2011 est.) |
| Birth rate: | 10.73 births/1,000 population (2011 est.) |
| Death rate: | 9.92 deaths/1,000 population (July 2011 est.) |
| Net migration rate: | -4.06 migrant(s)/1,000 population (2011 est.) |
| Urbanization: | urban population: 53% of total population (2010) |
| Urbanization: | rate of urbanization: -0.4% annual rate of change (2010-15 est.) |
| Major cities - population: | TBILISI (capital) 1.115 million (2009) |
| Sex ratio: | at birth: 1.113 male(s)/female |
| Sex ratio: | under 15 years: 1.15 male(s)/female |
| Sex ratio: | 15-64 years: 0.93 male(s)/female |
| Sex ratio: | 65 years and over: 0.66 male(s)/female |
| Sex ratio: | total population: 0.91 male(s)/female (2011 est.) |
| Maternal mortality rate: | 48 deaths/100,000 live births (2008) |
| Infant mortality rate: | total: 15.17 deaths/1,000 live births |
| Infant mortality rate: | male: 17.1 deaths/1,000 live births |
| Infant mortality rate: | female: 13.02 deaths/1,000 live births (2011 est.) |
| Life expectancy at birth: | total population: 77.12 years |
| Life expectancy at birth: | male: 73.8 years |
| Life expectancy at birth: | female: 80.82 years (2011 est.) |
| Total fertility rate: | 1.45 children born/woman (2011 est.) |
| Health expenditures: | 11.3% of GDP (2009) |
| Physicians density: | 4.538 physicians/1,000 population (2007) |
| Hospital bed density: | 3.32 beds/1,000 population (2007) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 96% of population |
| Drinking water source: | total: 98% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 4% of population |
| unimproved: | total: 2% of population (2008) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 96% of population |
| Sanitation facility access: | rural: 93% of population |
| Sanitation facility access: | total: 95% of population |
| unimproved: | urban: 4% of population |
| unimproved: | rural: 7% of population |
| unimproved: | total: 5% of population (2008) |
| HIV/AIDS - adult prevalence rate: | 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 3,500 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 100 (2009 est.) |
| Children under the age of 5 years underweight: | 2.3% (2005) |
| Education expenditures: | 3.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 100% |
| Literacy: | male: 100% |
| Literacy: | female: 100% (2004 est.) |
| School life expectancy (primary to tertiary education): | total: 13 years |
| School life expectancy (primary to tertiary education): | male: 13 years |
| School life expectancy (primary to tertiary education): | female: 13 years (2009) |
| Unemployment, youth ages 15-24: | total: 35.5% |
| Unemployment, youth ages 15-24: | male: 32.4% |
| Unemployment, youth ages 15-24: | female: 40.7% (2008) |
