| People and Society | Syria |
| --- | --- |
| Population: | 19,398,448 (July 2020 est.) |
| Population: | note: approximately 22,000 Israeli settlers live in the Golan Heights (2016) |
| Nationality: | noun: Syrian(s) |
| Nationality: | adjective: Syrian |
| Ethnic groups: | Arab ~50%, Alawite ~15%, Kurd ~10%, Levantine ~10%, other ~15% (includes Druze, Ismaili, Imami, Nusairi, Assyrian, Turkoman, Armenian) |
| Languages: | Arabic (official), Kurdish, Armenian, Aramaic, Circassian, French, English |
| Religions: | Muslim 87% (official; includes Sunni 74% and Alawi, Ismaili, and Shia 13%), Christian 10% (includes Orthodox, Uniate, and Nestorian), Druze 3%, Jewish (few remaining in Damascus and Aleppo) |
| Religions: | note:Â  the Christian population may be considerably smaller as a result of Christians fleeing the country duringÂ the ongoing civil war |
| Religions: | MENA religious affiliation: [Adobe] PDF |
| Age structure: | 0-14 years: 33.47% (male 3,323,072/female 3,170,444) |
| Age structure: | 15-24 years: 19.34% (male 1,872,903/female 1,879,564) |
| Age structure: | 25-54 years: 37.31% (male 3,558,241/female 3,679,596) |
| Age structure: | 55-64 years: 5.41% (male 516,209/female 534,189) |
| Age structure: | 65 years and over: 4.46% (male 404,813/female 459,417) (2020 est.) |
| Dependency ratios: | total dependency ratio: 55.4 |
| Dependency ratios: | youth dependency ratio: 47.8 |
| Dependency ratios: | elderly dependency ratio: 7.6 |
| Dependency ratios: | potential support ratio: 13.2 (2020 est.) |
| Median age: | total: 23.5 years |
| Median age: | male: 23 years |
| Median age: | female: 24 years (2020 est.) |
| Population growth rate: | 4.25% NA (2020 est.) |
| Birth rate: | 23.8 births/1,000 population (2020 est.) |
| Death rate: | 4.5 deaths/1,000 population (2020 est.) |
| Net migration rate: | 27.1 migrant(s)/1,000 population NA (2020 est.) |
| Population distribution: | significant population density along the Mediterranean coast; larger concentrations found in the major cities of Damascus, Aleppo (the country's largest city), and Hims (Homs); more than half of the population lives in the coastal plain, the province of Halab, and the Euphrates River valley |
| Population distribution: | note: the ongoing civil war has altered the population distribution |
| Urbanization: | urban population: 55.5% of total population (2020) |
| Urbanization: | rate of urbanization: 1.43% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 2.392 million DAMASCUS (capital), 1.917 million Aleppo, 1.336 million Hims (Homs), 922,000 Hamah (2020) |
| Sex ratio: | at birth: 1.06 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1 male(s)/female |
| Sex ratio: | 25-54 years: 0.97 male(s)/female |
| Sex ratio: | 55-64 years: 0.97 male(s)/female |
| Sex ratio: | 65 years and over: 0.88 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Maternal mortality rate: | 31 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 16.5 deaths/1,000 live births |
| Infant mortality rate: | male: 18.1 deaths/1,000 live births |
| Infant mortality rate: | female: 14.7 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 73.7 years |
| Life expectancy at birth: | male: 72.3 years |
| Life expectancy at birth: | female: 75.3 years (2020 est.) |
| Total fertility rate: | 2.9 children born/woman (2020 est.) |
| Drinking water source: | improved: urban: 99% of population |
| Drinking water source: | rural: 99.3% of population |
| Drinking water source: | total: 99.4% of population |
| Drinking water source: | unimproved: urban: 1% of population |
| Drinking water source: | rural: 0.7% of population |
| Drinking water source: | total: 0.6% of population (2017 est.) |
| Physicians density: | 1.29 physicians/1,000 population (2016) |
| Hospital bed density: | 1.4 beds/1,000 population (2017) |
| Sanitation facility access: | improved: urban: 99.6% of population |
| Sanitation facility access: | rural: 98.6% of population |
| Sanitation facility access: | total: 99.1% of population |
| Sanitation facility access: | unimproved: urban: 0.4% of population |
| Sanitation facility access: | rural: 1.4% of population |
| Sanitation facility access: | total: 0.9% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | <.1% (2019) |
| HIV/AIDS - people living with HIV/AIDS: | <1000 (2019) |
| HIV/AIDS - deaths: | <100 (2019) |
| Obesity - adult prevalence rate: | 27.8% (2016) |
| Children under the age of 5 years underweight: | 5.8% (2009/10) |
| Education expenditures: | NA |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 86.4% |
| Literacy: | male: 91.7% |
| Literacy: | female: 81% (2015) |
| School life expectancy (primary to tertiary education): | total: 9 years |
| School life expectancy (primary to tertiary education): | male: 9 years |
| School life expectancy (primary to tertiary education): | female: 9 years (2013) |
| Unemployment, youth ages 15-24: | total: 35.8% |
| Unemployment, youth ages 15-24: | male: 26.6% |
| Unemployment, youth ages 15-24: | female: 71.1% (2011 est.) |
