| People and Society | TURKEY |
| --- | --- |
| Nationality: | noun: Turk(s) |
| Nationality: | adjective: Turkish |
| Ethnic groups: | Turkish 70-75%, Kurdish 18%, other minorities 7-12% (2008 est.) |
| Languages: | Turkish (official), Kurdish, other minority languages |
| Religions: | Muslim 99.8% (mostly Sunni), other 0.2% (mostly Christians and Jews) |
| Population: | 79,414,269 (July 2015 est.) |
| Age structure: | 0-14 years: 25.45% (male 10,339,731/female 9,868,005) |
| Age structure: | 15-24 years: 16.25% (male 6,587,897/female 6,314,306) |
| Age structure: | 25-54 years: 43.07% (male 17,323,965/female 16,878,498) |
| Age structure: | 55-64 years: 8.15% (male 3,216,877/female 3,253,892) |
| Age structure: | 65 years and over: 7.09% (male 2,498,187/female 3,132,911) (2015 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 49.7% |
| population pyramid: | youth dependency ratio: 38.4% |
| population pyramid: | elderly dependency ratio: 11.3% |
| population pyramid: | potential support ratio: 8.9% (2015 est.) |
| Median age: | total: 29.6 years |
| Median age: | male: 29.2 years |
| Median age: | female: 30 years (2014 est.) |
| Population growth rate: | 1.26% (2015 est.) |
| Birth rate: | 16.33 births/1,000 population (2015 est.) |
| Death rate: | 5.88 deaths/1,000 population (2015 est.) |
| Net migration rate: | 2.16 migrant(s)/1,000 population (2015 est.) |
| Urbanization: | urban population: 73.4% of total population (2015) |
| Urbanization: | rate of urbanization: 1.97% annual rate of change (2010-15 est.) |
| Major urban areas - population: | Istanbul 14.164 million; ANKARA (capital) 4.75 million; Izmir 3.04 million; Bursa 1.923 million; Adana 1.83 million; Gaziantep 1.528 million (2015) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.05 male(s)/female |
| Sex ratio: | 15-24 years: 1.04 male(s)/female |
| Sex ratio: | 25-54 years: 1.03 male(s)/female |
| Sex ratio: | 55-64 years: 0.99 male(s)/female |
| Sex ratio: | 65 years and over: 0.8 male(s)/female |
| Sex ratio: | total population: 1.01 male(s)/female (2015 est.) |
| Infant mortality rate: | total: 18.87 deaths/1,000 live births |
| Infant mortality rate: | male: 20.13 deaths/1,000 live births |
| Infant mortality rate: | female: 17.55 deaths/1,000 live births (2015 est.) |
| Life expectancy at birth: | total population: 74.57 years |
| Life expectancy at birth: | male: 72.26 years |
| Life expectancy at birth: | female: 77 years (2015 est.) |
| Total fertility rate: | 2.05 children born/woman (2015 est.) |
| Contraceptive prevalence rate: | 73% (2008) |
| Health expenditures: | 5.6% of GDP (2013) |
| Physicians density: | 1.71 physicians/1,000 population (2011) |
| Hospital bed density: | 2.5 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| unimproved: | urban: 0% of population |
| unimproved: | rural: 0% of population |
| unimproved: | total: 0% of population (2015 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 98.3% of population |
| Sanitation facility access: | rural: 85.5% of population |
| Sanitation facility access: | total: 94.9% of population |
| unimproved: | urban: 1.7% of population |
| unimproved: | rural: 14.5% of population |
| unimproved: | total: 5.1% of population (2015 est.) |
| HIV/AIDS - adult prevalence rate: | NA |
| HIV/AIDS - people living with HIV/AIDS: | NA |
| HIV/AIDS - deaths: | NA |
| Obesity - adult prevalence rate: | 29.4% (2014) |
| Children under the age of 5 years underweight: | 1.9% (2014) |
| Education expenditures: | 2.9% of GDP (2006) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 95% |
| Literacy: | male: 98.4% |
| Literacy: | female: 91.8% (2015 est.) |
| School life expectancy (primary to tertiary education): | total: 15 years |
| School life expectancy (primary to tertiary education): | male: 15 years |
| School life expectancy (primary to tertiary education): | female: 14 years (2012) |
| Child labor - children ages 5-14: | total number: 321,866 |
| Child labor - children ages 5-14: | percentage: 3% |
| Child labor - children ages 5-14: | note: data represents children ages 6-14 (2006 est.) |
| Unemployment, youth ages 15-24: | total: 17.5% |
| Unemployment, youth ages 15-24: | male: 16.3% |
| Unemployment, youth ages 15-24: | female: 19.9% (2012 est.) |
