| People and Society | Paraguay |
| --- | --- |
| Population: | 7,191,685 (July 2020 est.) |
| Nationality: | noun: Paraguayan(s) |
| Nationality: | adjective: Paraguayan |
| Ethnic groups: | Mestizo (mixed Spanish and Amerindian) 95%, other 5% |
| Languages: | Spanish (official) and Guarani (official) 46.3%, only Guarani 34%, only Spanish 15.2%, other (includes Portuguese, German, other indigenous languages) 4.1% , no response .4% (2012 est.) |
| Languages: | note: data represent predominant household language |
| Religions: | Roman Catholic 89.6%, Protestant 6.2%, other Christian 1.1%, other or unspecified 1.9%, none 1.1% (2002 census) |
| Demographic profile: | Paraguay falls below the Latin American average in several socioeconomic categories, including immunization rates, potable water, sanitation, and secondary school enrollment, and has greater rates of income inequality and child and maternal mortality. Paraguay's poverty rate has declined in recent years but remains high, especially in rural areas, with more than a third of the population below the poverty line. However, the well-being of the poor in many regions has improved in terms of housing quality and access to clean water, telephone service, and electricity. The fertility rate continues to drop, declining sharply from an average 4.3 births per woman in the late 1990s to about 2 in 2013, as a result of the greater educational attainment of women, increased use of contraception, and a desire for smaller families among young women. |
| Demographic profile: | Paraguay is a country of emigration; it has not attracted large numbers of immigrants because of political instability, civil wars, years of dictatorship, and the greater appeal of neighboring countries. Paraguay first tried to encourage immigration in 1870 in order to rebound from the heavy death toll it suffered during the War of the Triple Alliance, but it received few European and Middle Eastern immigrants. In the 20th century, limited numbers of immigrants arrived from Lebanon, Japan, South Korea, and China, as well as Mennonites from Canada, Russia, and Mexico. Large flows of Brazilian immigrants have been arriving since the 1960s, mainly to work in agriculture. Paraguayans continue to emigrate to Argentina, Brazil, Uruguay, the United States, Italy, Spain, and France. |
| Age structure: | 0-14 years: 23.41% (male 857,303/female 826,470) |
| Age structure: | 15-24 years: 17.71% (male 640,400/female 633,525) |
| Age structure: | 25-54 years: 42.63% (male 1,532,692/female 1,532,851) |
| Age structure: | 55-64 years: 8.37% (male 306,100/female 295,890) |
| Age structure: | 65 years and over: 7.88% (male 267,351/female 299,103) (2020 est.) |
| Dependency ratios: | total dependency ratio: 55.5 |
| Dependency ratios: | youth dependency ratio: 49.9 |
| Dependency ratios: | elderly dependency ratio: 10.6 |
| Dependency ratios: | potential support ratio: 9.4 (2020 est.) |
| Median age: | total: 29.7 years |
| Median age: | male: 29.5 years |
| Median age: | female: 29.9 years (2020 est.) |
| Population growth rate: | 1.16% (2020 est.) |
| Birth rate: | 16.6 births/1,000 population (2020 est.) |
| Death rate: | 4.9 deaths/1,000 population (2020 est.) |
| Net migration rate: | -0.1 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | most of the population resides in the eastern half of the country; to the west lies the Gran Chaco (a semi-arid lowland plain), which accounts for 60% of the land territory, but only 2% of the overall population |
| Urbanization: | urban population: 62.2% of total population (2020) |
| Urbanization: | rate of urbanization: 1.71% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
| Major urban areas - population: | 3.337 million ASUNCION (capital) (2020) |
| Sex ratio: | at birth: 1.05 male(s)/female |
| Sex ratio: | 0-14 years: 1.04 male(s)/female |
| Sex ratio: | 15-24 years: 1.01 male(s)/female |
| Sex ratio: | 25-54 years: 1 male(s)/female |
| Sex ratio: | 55-64 years: 1.03 male(s)/female |
| Sex ratio: | 65 years and over: 0.89 male(s)/female |
| Sex ratio: | total population: 1 male(s)/female (2020 est.) |
| Mother's mean age at first birth: | 22.9 years (2008 est.) |
| Mother's mean age at first birth: | note: median age at first birth among women 25-29 |
| Maternal mortality rate: | 84 deaths/100,000 live births (2017 est.) |
| Infant mortality rate: | total: 16.9 deaths/1,000 live births |
| Infant mortality rate: | male: 20 deaths/1,000 live births |
| Infant mortality rate: | female: 13.7 deaths/1,000 live births (2020 est.) |
| Life expectancy at birth: | total population: 77.9 years |
| Life expectancy at birth: | male: 75.2 years |
| Life expectancy at birth: | female: 80.7 years (2020 est.) |
| Total fertility rate: | 1.89 children born/woman (2020 est.) |
| Contraceptive prevalence rate: | 68.4% (2016) |
| Drinking water source: | improved: urban: 100% of population |
| Drinking water source: | rural: 100% of population |
| Drinking water source: | total: 100% of population |
| Drinking water source: | unimproved: urban: 0% of population |
| Drinking water source: | rural: 0% of population |
| Drinking water source: | total: 0% of population (2017 est.) |
| Current Health Expenditure: | 6.7% (2017) |
| Physicians density: | 1.37 physicians/1,000 population (2018) |
| Hospital bed density: | 0.8 beds/1,000 population (2016) |
| Sanitation facility access: | improved: urban: 98.4% of population |
| Sanitation facility access: | rural: 84.8% of population |
| Sanitation facility access: | total: 93.1% of population |
| Sanitation facility access: | unimproved: urban: 1.6% of population |
| Sanitation facility access: | rural: 15.2% of population |
| Sanitation facility access: | total: 6.8% of population (2017 est.) |
| HIV/AIDS - adult prevalence rate: | 0.4% (2019 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 22,000 (2019 est.) |
