| People and Society | Bangladesh |
| --- | --- |
| Nationality: | noun: Bangladeshi(s) |
| Nationality: | adjective: Bangladeshi |
| Ethnic groups: | Bengali 98%, other 2% (includes tribal groups, non-Bengali Muslims) (1998) |
| Languages: | Bangla (official, also known as Bengali), English |
| Religions: | Muslim 89.5%, Hindu 9.6%, other 0.9% (2004) |
| Population: | 163,654,860 (July 2013 est.) |
| Age structure: | 0-14 years: 33% (male 27,393,912/female 26,601,199) |
| Age structure: | 15-24 years: 18.8% (male 14,337,930/female 16,377,785) |
| Age structure: | 25-54 years: 37.6% (male 29,091,046/female 32,455,670) |
| Age structure: | 55-64 years: 5.7% (male 4,775,062/female 4,625,192) |
| Age structure: | 65 years and over: 4.9% (male 3,918,341/female 4,078,723) (2013 est.) |
| population pyramid: | Dependency ratios: |
| population pyramid: | total dependency ratio: 53.3 % |
| population pyramid: | youth dependency ratio: 46 % |
| population pyramid: | elderly dependency ratio: 7.3 % |
| population pyramid: | potential support ratio: 13.6 (2013) |
| Median age: | total: 23.9 years |
| Median age: | male: 23.4 years |
| Median age: | female: 24.4 years (2013 est.) |
| Population growth rate: | 1.59% (2013 est.) |
| Birth rate: | 22.07 births/1,000 population (2013 est.) |
| Death rate: | 5.67 deaths/1,000 population (2013 est.) |
| Net migration rate: | -0.52 migrant(s)/1,000 population (2013 est.) |
| Urbanization: | urban population: 28.4% of total population (2011) |
| Urbanization: | rate of urbanization: 2.96% annual rate of change (2010-15 est.) |
| Major urban areas - population: | DHAKA (capital) 15.391 million; Chittagong 4.816 million; Khulna 1.636 million; Rajshahi 853,000 (2011) |
| Sex ratio: | at birth: 1.04 male(s)/female |
| Sex ratio: | 0-14 years: 1.03 male(s)/female |
| Sex ratio: | 15-24 years: 0.87 male(s)/female |
| Sex ratio: | 25-54 years: 0.9 male(s)/female |
| Sex ratio: | 55-64 years: 1.05 male(s)/female |
| Sex ratio: | 65 years and over: 0.96 male(s)/female |
| Sex ratio: | total population: 0.95 male(s)/female (2013 est.) |
| Mother's mean age at first birth: | 18.1 |
| Mother's mean age at first birth: | note: Median age at first birth among women 25-29 (2011 est.) |
| Maternal mortality rate: | 240 deaths/100,000 live births (2010) |
| Infant mortality rate: | total: 47.3 deaths/1,000 live births |
| Infant mortality rate: | male: 49.79 deaths/1,000 live births |
| Infant mortality rate: | female: 44.71 deaths/1,000 live births (2013 est.) |
| Life expectancy at birth: | total population: 70.36 years |
| Life expectancy at birth: | male: 68.48 years |
| Life expectancy at birth: | female: 72.31 years (2013 est.) |
| Total fertility rate: | 2.5 children born/woman (2013 est.) |
| Contraceptive prevalence rate: | 61.2% (2011/12) |
| Health expenditures: | 3.7% of GDP (2011) |
| Physicians density: | 0.36 physicians/1,000 population (2011) |
| Hospital bed density: | 0.6 beds/1,000 population (2011) |
| Drinking water source: | improved: |
| Drinking water source: | urban: 85% of population |
| Drinking water source: | rural: 80% of population |
| Drinking water source: | total: 81% of population |
| unimproved: | urban: 15% of population |
| unimproved: | rural: 20% of population |
| unimproved: | total: 19% of population (2010 est.) |
| Sanitation facility access: | improved: |
| Sanitation facility access: | urban: 57% of population |
| Sanitation facility access: | rural: 55% of population |
| Sanitation facility access: | total: 56% of population |
| unimproved: | urban: 43% of population |
| unimproved: | rural: 45% of population |
| unimproved: | total: 44% of population (2010 est.) |
| HIV/AIDS - adult prevalence rate: | less than 0.1% (2009 est.) |
| HIV/AIDS - people living with HIV/AIDS: | 6,300 (2009 est.) |
| HIV/AIDS - deaths: | fewer than 200 (2009 est.) |
| Major infectious diseases: | degree of risk: high |
| Major infectious diseases: | food or waterborne diseases: bacterial and protozoal diarrhea, hepatitis A and E, and typhoid fever |
| Major infectious diseases: | vectorborne diseases: dengue fever and malaria are high risks in some locations |
| Major infectious diseases: | water contact disease: leptospirosis |
| Major infectious diseases: | animal contact disease: rabies |
| Major infectious diseases: | note: highly pathogenic H5N1 avian influenza has been identified in this country; it poses a negligible risk with extremely rare cases possible among US citizens who have close contact with birds (2013) |
| Obesity - adult prevalence rate: | 1.1% (2008) |
| Children under the age of 5 years underweight: | 41.3% (2007) |
| Education expenditures: | 2.2% of GDP (2009) |
| Literacy: | definition: age 15 and over can read and write |
| Literacy: | total population: 57.7% |
| Literacy: | male: 62% |
| Literacy: | female: 53.4% (2011 est.) |
| School life expectancy (primary to tertiary education): | total: 8 years |
| School life expectancy (primary to tertiary education): | male: 8 years |
| School life expectancy (primary to tertiary education): | female: 8 years (2007) |
| Child labor - children ages 5-14: | total number: 4,485,497 |
| Child labor - children ages 5-14: | percentage: 13 % (2006 est.) |
| Unemployment, youth ages 15-24: | total: 9.3% |
| Unemployment, youth ages 15-24: | male: 8% |
| Unemployment, youth ages 15-24: | female: 13.6% (2005) |
