| People and Society | India |
| --- | --- |
| Population: | 1,326,093,247 (July 2020 est.) |
| Nationality: | noun: Indian(s) |
| Nationality: | adjective: Indian |
| Ethnic groups: | Indo-Aryan 72%, Dravidian 25%, Mongoloid and other 3% (2000) |
| Languages: | Hindi 43.6%, Bengali 8%, Marathi 6.9%, Telugu 6.7%, Tamil 5.7%, Gujarati 4.6%, Urdu 4.2%, Kannada 3.6%, Odia 3.1%, Malayalam 2.9%, Punjabi 2.7%, Assamese 1.3%, Maithili 1.1%, other 5.6% (2011 est.) |
| Languages: | note: English enjoys the status of subsidiary official language but is the most important language for national, political, and commercial communication; there are 22 other officially recognized languages: Assamese, Bengali, Bodo, Dogri, Gujarati, Hindi, Kannada, Kashmiri, Konkani, Maithili, Malayalam, Manipuri, Nepali, Odia, Punjabi, Sanskrit, Santali, Sindhi, Tamil, Telugu, Urdu; Hindustani is a popular variant of Hindi/Urdu spoken widely throughout northern India but is not an official language |
| Religions: | Hindu 79.8%, Muslim 14.2%, Christian 2.3%, Sikh 1.7%, other and unspecified 2% (2011 est.) |
| Age structure: | 0-14 years: 26.31% (male 185,017,089/female 163,844,572) |
| Age structure: | 15-24 years: 17.51% (male 123,423,531/female 108,739,780) |
| Age structure: | 25-54 years: 41.56% (male 285,275,667/female 265,842,319) |
| Age structure: | 55-64 years: 7.91% (male 52,444,817/female 52,447,038) |
| Age structure: | 65 years and over: 6.72% (male 42,054,459/female 47,003,975) (2020 est.) |
| Dependency ratios: | total dependency ratio: 48.7 |
| Dependency ratios: | youth dependency ratio: 38.9 |
| Dependency ratios: | elderly dependency ratio: 9.8 |
| Dependency ratios: | potential support ratio: 10.2 (2020 est.) |
| Median age: | total: 28.7 years |
| Median age: | male: 28 years |
| Median age: | female: 29.5 years (2020 est.) |
| Population growth rate: | 1.1% (2020 est.) |
| Birth rate: | 18.2 births/1,000 population (2020 est.) |
| Death rate: | 7.3 deaths/1,000 population (2020 est.) |
| Net migration rate: | 0 migrant(s)/1,000 population (2020 est.) |
| Population distribution: | with the notable exception of the deserts in the northwest, including the Thar Desert, and the mountain fringe in the north, a very high population density exists throughout most of the country; the core of the population is in the north along the banks of the Ganges, with other river valleys and southern coastal areas also having large population concentrations |
| Urbanization: | urban population: 34.9% of total population (2020) |
| Urbanization: | rate of urbanization: 2.37% annual rate of change (2015-20 est.) |
| Urbanization: | total population growth rate v. urban population growth rate, 2000-2030: [Adobe] PDF |
